alias,lang_id,source
¥́,id-010399e8,self
一丁丂七丄丅丆万丈三上下丌不与丏丐丑丒专且丕世丗丘丙业丛东丝丞丟丠両丢丣两严並丧丨丩个丫丬中丮丯丰丱串丳临丵丶丷丸丹为主丼丽举丿乀乁乂乃乄久乆乇么义乊之乌乍乎乏,id-01c498a5,self
̐,id-01fb82b5,self
█,id-025d44bd,self
🆖,id-028bb5dc,self
●,id-02b4ebd4,self
Π,id-0600a515,self
Λιμπ,id-0704404f,self
靈符,id-0802b0c1,self
\,id-08534f33,self
🗿,id-091a0546,self
!,id-0ab8318a,self
Собачка,id-0cb46a2e,self
ಠ ಠ,id-11106d87,self
🥺,id-133ea9ea,self
！中文,id-14a561ae,self
Μ,id-15b7b338,self
¿,id-1b989a74,self
噹硡氀,id-1c102ae6,self
→,id-213edd25,self
=,id-21606782,self
大白话,id-21ea0d16,self
``,id-222b2b4a,self
అంతులేనిబైనరీలు,id-2478e831,self
🖴,id-264f13e1,self
☃,id-26861373,self
瓜,id-26eea404,self
(,id-28ed3a79,self
$!,id-2b2bf58d,self
这☪他✺妈✾都✣啥☾完♗意♮啊,id-2cb538ad,self
;,id-2d14ab97,self
水滴,id-2d26cd08,self
???,id-2d86c2a6,self
Ⅎ,id-2e0d4618,self
ΞΘΔΦΩ,id-319ba86c,self
🕳️,id-3410b8f5,self
***,id-36c3eaa0,self
(*),id-373c7648,self
∞,id-38f64525,self
↡,id-39950531,self
菜就多练,id-39df7913,self
????,id-3b93fd2d,self
掉爆子脑,id-3b9e1280,self
$,id-3cdf2936,self
操脑,id-3d54b68a,self
綠酒千杯腸已爛,id-3ef3e3ab,self
((,id-3f9be36f,self
!한국어,id-41ae1c72,self
/,id-42099b4a,self
死鱼,id-426862f2,self
高尔夫,id-45f16d57,self
Ð,id-495242db,self
元旦,id-499e5d1f,self
🐢,id-49dc1817,self
Λ,id-4bd3857e,self
Φ,id-4bf81d54,self
±,id-4c2077d1,self
Ø,id-4c959944,self
驫鶭,id-4d400b88,self
⊥,id-4dc3afe5,self
▓,id-4dd4584e,self
⁠,id-4e2c37e7,self
ᚱᚢᚾᛅᛦ,id-4f887d34,self
！真正可用的中文,id-4fc8daf7,self
汐撅撅,id-5196f0fb,self
¯\ (ツ) /¯,id-52c7b98e,self
退！退！退！,id-53c41d59,self
诗,id-53e00f75,self
",()",id-54cb765d,self
¯\,id-55cabfac,self
💾,id-579c0340,self
字,id-582c5006,self
?!,id-59c2264c,self
?,id-5bab61eb,self
",",id-5c10b5b2,self
^,id-5e6f80a3,self
{,id-60ba4b2d,self
Λλλ,id-637da0c3,self
):,id-67f69ef0,self
; ;;,id-6aade5a8,self
ぬいぐるみアート,id-6cab774f,self
＿,id-6ce308f4,self
한국어,id-6e081b59,self
🏳️‍⚧️🦞,id-6e716d65,self
Λάμβδα,id-72798c99,self
!Мова,id-74f64b50,self
ごぼうとにんじん炒めたやつ,id-77447a7f,self
坑,id-786d2af5,self
🅿🅸🅴🆃,id-7a3a3fe6,self
$ $,id-7b0bf971,self
海纳百川,id-7b48b9a5,self
中文,id-7be2d2d2,self
&,id-7c4d3378,self
`,id-7e15bb5c,self
((?)?)?,id-7f65b96d,self
"(,!)",id-7f69580c,self
嘭！哐！叮！呲！咣！,id-7fc14f41,self
Марковский,id-80a90b94,self
←,id-8179643c,self
قلب,id-82f1b4b7,self
€,id-83fc867a,self
Юᓂ곧⎔,id-84def688,self
彳亍,id-858b0072,self
⫵,id-8a05946b,self
ඞ,id-8d43548c,self
Σ∞,id-8ee43153,self
^中文,id-9196ed2b,self
这不是编程语言！,id-96092b72,self
^!,id-9653a731,self
العربية,id-9970632f,self
@,id-9a782114,self
!!!,id-9a7b006d,self
🆒,id-9b319f7f,self
哮,id-9c7753fb,self
\/,id-9d7df07c,self
ㄅㄆㄇㄈㄉㄊㄋㄌ,id-9edcb726,self
◼,id-9ede96ac,self
=?,id-9f64d1d4,self
׀│,id-9faf55ee,self
Ↄ,id-a0dab239,self
Монгол хэл,id-a0f5b9a1,self
◧◨,id-a11768e9,self
Тест на терпение,id-a2014496,self
¢%,id-a266ead7,self
~~¨л,id-a3403039,self
Хязгаар,id-a3884395,self
脑操,id-a542d6ab,self
!(),id-a68c1200,self
Ζτ,id-a6a9fee2,self
横,id-a7d20fd2,self
💽,id-a9dedaab,self
(()),id-aa75362b,self
干！,id-acfd624c,self
神金，害我笑了一下,id-b0b70d0b,self
(?!),id-b1528e3b,self
!!,id-b4613f86,self
开？关！,id-b58aecab,self
;;;,id-b8354ba4,self
