ext_canonical,ext_raw,total_occ,recent_occ,first_year,last_year,n_current_claimants,current_claimants,review_status,suggested_label,priority_score
.map,".map,.MAP",87801186,46562843,1970,2023,0,,pending,build-artifact,8.24
.log,".log,.Log,.LOG",84220996,21772086,1970,2023,0,,pending,build-artifact,8.23
.lock,.lock,61390331,35974664,1970,2023,0,,pending,lock/cache,8.09
.cache,".cache,.Cache",46568598,14655160,1970,2023,0,,pending,lock/cache,7.97
.info,".info,.INFO",46452422,14826144,1970,2023,0,,pending,build-artifact,7.97
.flat,.flat,39313382,22045141,1970,2023,0,,pending,unknown,7.89
.uasset,.uasset,24753440,11996856,2003,2023,0,,pending,unknown,7.69
.zip,".zip,.Zip,.ZIP",23925257,7896084,1970,2023,0,,pending,binary:archive,7.68
.pdb,.pdb,21791259,7860160,1970,2023,0,,pending,build-artifact,7.64
.out,".out,.OUT",20406138,7327586,1970,2023,0,,pending,build-artifact,7.61
.geojson,".geojson,.geoJSON",159876919,42784211,1970,2023,1,geojson,pending,data:json-like,7.50
.conf,.conf,14960704,2814310,1969,2023,0,,pending,data:config,7.47
.bmp,".bmp,.BMP,.Bmp",13744907,4879522,1970,2023,0,,pending,binary:image,7.44
.glif,.glif,12970725,6281293,1970,2023,0,,pending,unknown,7.41
.pbxproj,.pbxproj,12439369,2540623,1970,2023,0,,pending,unknown,7.39
.doctree,.doctree,12017799,3199139,1970,2023,0,,pending,unknown,7.38
.mvt,.mvt,10925697,100885,2007,2023,0,,pending,unknown,7.34
.in,".in,.IN",10865756,2185450,1969,2023,0,,pending,unknown,7.34
.config,".config,.Config",10699303,2648226,1969,2023,0,,pending,unknown,7.33
.pm,.pm,9957327,1275111,1970,2023,0,,pending,unknown,7.30
.db,".db,.DB",9392478,1523874,1970,2023,0,,pending,binary:db,7.27
.umbracache,.umbracache,9383729,3219489,2013,2023,0,,pending,unknown,7.27
.sig,.sig,8956060,6757945,1970,2023,0,,pending,unknown,7.25
.0,.0,8638768,2038646,1970,2023,0,,pending,numeric-suffix,7.24
.tlog,.tlog,8631437,3033076,1970,2023,0,,pending,build-artifact,7.24
.tif,".tif,.TIF",7634578,3016147,1970,2023,0,,pending,binary:image,7.18
.xhtml,.xhtml,7349316,1344288,1970,2023,0,,pending,data:xml-like,7.17
.mk,.mk,7096279,1552080,1970,2023,0,,pending,unknown,7.15
.index,.index,6603488,2445909,1989,2023,0,,pending,unknown,7.12
.scssc,.scssc,6222861,741703,2007,2023,0,,pending,unknown,7.09
.ko,.ko,6122945,1972861,1970,2023,0,,pending,unknown,7.09
.xcuserstate,.xcuserstate,5822805,711565,1970,2023,0,,pending,unknown,7.07
.tar,.tar,5773973,310624,1970,2023,0,,pending,binary:archive,7.06
.list,".list,.LIST",5410221,1125339,1970,2023,0,,pending,unknown,7.03
.data,.data,5224398,1270966,1970,2023,0,,pending,unknown,7.02
.vtp,.vtp,5142331,618709,2002,2023,0,,pending,unknown,7.01
.stdout,.stdout,5078749,466295,1970,2023,0,,pending,unknown,7.01
.ogg,.ogg,4917449,2540913,1970,2023,0,,pending,binary:audio,6.99
.key,.key,4903258,4150439,1970,2023,0,,pending,unknown,6.99
.3,.3,4901646,1119624,1970,2023,0,,pending,numeric-suffix,6.99
.o,".o,.O",48269787,14757613,1970,2023,1,coff,pending,binary:executable,6.98
.domainset,.domainset,4793266,15931,2019,2021,0,,pending,unknown,6.98
.fasta,.fasta,4754420,2173788,1970,2023,0,,pending,unknown,6.98
.sum,.sum,4204629,2851272,1970,2023,0,,pending,unknown,6.92
.lst,".lst,.LST",4107736,1357340,1970,2023,0,,pending,unknown,6.91
.2,.2,4032794,885533,1970,2023,0,,pending,numeric-suffix,6.91
.apk,.apk,4014443,976355,1970,2023,0,,pending,binary:executable,6.90
.ico,".ico,.ICO",3997598,1823649,1970,2023,0,,pending,binary:image,6.90
.npz,.npz,3942097,1971640,2008,2023,0,,pending,model/data,6.90
.xls,".xls,.XLS",3861154,1122415,1970,2023,0,,pending,binary:other,6.89
.crc,.crc,3838392,2600157,1996,2023,0,,pending,unknown,6.88
.form,.form,3805097,969620,1970,2023,0,,pending,unknown,6.88
.am,.am,3697477,319342,1970,2023,0,,pending,unknown,6.87
.import,.import,3642948,2616599,1992,2023,0,,pending,unknown,6.86
.dds,".dds,.DDS",3591938,2072297,1970,2023,0,,pending,unknown,6.86
.xcscheme,.xcscheme,3584650,831761,1970,2023,0,,pending,unknown,6.85
.mf,".MF,.mf",3486816,882095,1970,2023,0,,pending,unknown,6.84
.htm,".htm,.HTM",34789250,9885827,1970,2023,1,html,pending,docs,6.84
.rawproto,.rawproto,3256311,439064,2013,2023,0,,pending,unknown,6.81
.idb,.idb,3218308,472110,1970,2023,0,,pending,unknown,6.81
.ppm,.ppm,3082319,1339955,1970,2023,0,,pending,unknown,6.79
.tdb,.tdb,3054364,1698006,1970,2023,0,,pending,unknown,6.78
.tga,".tga,.TGA",2964689,1387891,1970,2023,0,,pending,binary:image,6.77
.woff,.woff,2924835,997867,1970,2023,0,,pending,binary:font,6.77
.sqlite3,.sqlite3,2883707,658423,1970,2023,0,,pending,binary:db,6.76
.xyz,.xyz,2814640,1380574,1998,2023,0,,pending,unknown,6.75
.doc,".doc,.DOC",2790413,607197,1970,2023,0,,pending,binary:other,6.75
.ttf,".ttf,.TTF",2773437,1077463,1970,2023,0,,pending,binary:font,6.74
.mat,".mat,.MAT",27418915,10791191,1970,2023,1,matlab,pending,unknown,6.74
.beam,.beam,2687979,937506,1999,2023,0,,pending,unknown,6.73
.controller,.controller,2649024,1235567,2001,2023,0,,pending,unknown,6.72
.bz2,.bz2,2646546,677485,1970,2023,0,,pending,binary:archive,6.72
.fa,.fa,2627723,1096056,1970,2023,0,,pending,unknown,6.72
.suo,.suo,2606597,159241,1970,2023,0,,pending,unknown,6.72
.bak,".bak,.BAK,.Bak",2605120,680916,1970,2023,0,,pending,lock/cache,6.72
.psd,".psd,.PSD",2508792,713695,1970,2023,0,,pending,binary:image,6.70
.enc,.enc,2503840,1095513,1970,2023,0,,pending,unknown,6.70
.jsonp,.jsonp,2478476,173333,1970,2023,0,,pending,unknown,6.69
.mjava,.mjava,2462399,590606,2001,2023,0,,pending,unknown,6.69
.cdb,.cdb,2449928,751689,1970,2023,0,,pending,unknown,6.69
.lib,".lib,.LIB",2427903,707764,1970,2023,0,,pending,unknown,6.69
.pgm,.pgm,2385501,637581,1970,2023,0,,pending,unknown,6.68
.glyph,.glyph,2383475,524667,2006,2023,0,,pending,unknown,6.68
.hdb,.hdb,2337637,712343,1970,2023,0,,pending,unknown,6.67
.mid,".mid,.MID",2319759,1058044,1970,2023,0,,pending,binary:audio,6.67
.4,.4,2298889,533165,1970,2023,0,,pending,numeric-suffix,6.66
