extension,count_total,count_pldb,count_linguist,count_wikipedia,count_esolang,count_hyperpolyglot,count_pygments,count_rosettacode,sample_lang
.inc,12,8,12,1,2,12,12,7,Assembly
.m,7,5,7,0,1,7,5,7,limbo
.bas,6,4,6,2,1,1,6,6,B4X
.cls,6,4,6,0,0,5,6,4,apex
.fcgi,6,4,6,3,2,6,6,5,lua
.mod,5,4,5,0,0,4,5,2,ampl
.ncl,5,3,5,0,1,4,5,0,gerber-image
.pro,5,4,5,0,0,5,5,2,idl
.sql,5,3,5,0,0,5,5,2,plpgsql
.bf,4,4,4,1,3,3,4,2,beef
.fs,4,4,4,0,1,4,4,3,f-sharp
.gml,4,4,4,0,0,4,2,0,game-maker-language
.gs,4,4,4,1,0,4,4,4,genie
.l,4,4,4,0,0,4,2,2,common-lisp
.sch,4,3,4,0,0,4,2,1,eagle
.t,4,4,4,1,1,4,2,4,perl
.x,4,2,4,0,1,4,1,0,DirectX 3D File
.yaml,4,0,4,0,0,1,4,0,MiniYAML
.yml,4,0,4,0,0,1,4,0,MiniYAML
.asc,3,2,3,0,0,3,3,0,ags-script
.bb,3,3,3,1,0,3,3,1,bitbake
.bs,3,0,3,0,0,0,0,0,Bikeshed
.cgi,3,1,3,1,2,3,3,2,perl
.cl,3,3,3,0,1,3,3,1,common-lisp
.d,3,2,3,0,1,3,2,2,d
.e,3,2,3,0,1,2,2,3,e
.f,3,3,3,0,1,3,2,2,filebench-wml
.for,3,2,3,0,1,3,2,2,Formatted
.fr,3,2,3,0,2,3,2,2,forth
.frm,3,2,3,0,0,2,3,2,ini
.h,3,2,3,0,2,3,3,3,C
.i,3,0,3,0,1,3,3,1,Assembly
.json,3,0,3,0,0,1,3,0,JSON
.lp,3,0,3,0,0,0,0,0,Answer Set Programming
.mc,3,1,3,0,0,1,3,1,m4
.ms,3,2,3,0,0,3,3,1,maxscript
.pl,3,3,3,1,1,3,3,3,perl
.pm,3,3,3,1,1,3,3,2,perl
.r,3,2,3,1,0,2,2,2,r
.rs,3,3,3,0,0,3,3,1,renderscript
.s,3,0,3,0,1,3,3,1,Assembly
.spec,3,1,3,0,1,3,3,2,Python
.txt,3,0,3,0,1,1,3,0,Adblock Filter List
.v,3,2,3,0,1,3,3,3,Rocq Prover
.1,2,1,2,0,0,2,2,0,roff
.1in,2,1,2,0,0,2,2,0,roff
.1m,2,1,2,0,0,2,2,0,roff
.1x,2,1,2,0,0,2,2,0,roff
.2,2,1,2,0,0,2,2,0,roff
.3,2,1,2,0,0,2,2,0,roff
.3in,2,1,2,0,0,2,2,0,roff
.3m,2,1,2,0,0,2,2,0,roff
.3p,2,1,2,0,0,2,2,0,roff
.3pm,2,1,2,0,0,2,2,0,roff
.3qt,2,1,2,0,0,2,2,0,roff
.3x,2,1,2,0,0,2,2,0,roff
.4,2,1,2,0,0,2,2,0,roff
.5,2,1,2,0,0,2,2,0,roff
.6,2,1,2,0,0,2,2,0,roff
.7,2,1,2,0,0,2,2,0,roff
.8,2,1,2,0,0,2,2,0,roff
.9,2,1,2,0,0,2,2,0,roff
.al,2,2,2,1,1,1,1,1,al
.as,2,2,2,0,0,2,2,2,actionscript
.ash,2,1,2,0,0,1,1,0,ags-script
.asm,2,0,2,0,1,2,2,1,Assembly
.asy,2,1,2,0,0,2,2,1,asymptote
.b,2,2,2,1,1,2,2,1,brainfuck
.bi,2,2,2,1,0,0,2,2,freebasic
.brd,2,1,2,0,0,2,0,0,eagle
.bst,2,0,2,0,0,0,2,0,BibTeX Style
.cairo,2,1,2,0,0,0,0,0,cairo
.cake,2,1,2,0,1,2,2,2,C#
.cfg,2,1,2,0,0,2,2,0,HAProxy
.ch,2,2,2,0,0,2,1,1,charity
.cp,2,1,2,0,1,2,2,2,C++
.cs,2,1,2,1,1,2,2,2,C#
.csl,2,1,2,0,0,1,2,0,Kusto
.cue,2,0,2,0,0,0,0,0,CUE
.ddl,2,1,2,0,0,2,2,1,PLSQL
.dsc,2,0,2,0,0,0,0,0,Debian Package Control File
.dsp,2,1,2,0,0,2,0,1,faust
.ecl,2,1,2,0,1,2,2,1,ecl
.es,2,2,2,1,0,2,2,2,erlang
.ex,2,2,2,0,0,1,2,2,elixir
.frag,2,2,2,1,0,2,2,2,glsl
.ftl,2,1,2,0,0,1,0,0,Fluent
.fx,2,2,2,0,1,2,1,0,flux
.g,2,2,2,0,0,2,2,1,g-code
.gd,2,2,2,0,0,2,2,2,gap
.gst,2,2,2,0,0,2,2,1,gosu
.gts,2,1,2,0,0,1,1,0,gerber-image
.hh,2,1,2,0,1,2,2,2,C++
.html,2,1,2,0,0,1,2,0,Ecmarkup
.ice,2,1,2,0,0,2,1,0,JSON
.j,2,2,2,0,0,2,2,0,jasmin
.jq,2,2,2,0,1,1,0,1,jq
.k,2,1,2,0,0,0,0,0,kcl
.ks,2,0,2,0,0,0,0,0,KerboScript
.lean,2,1,2,0,0,1,2,1,lean
.lisp,2,2,2,0,0,2,2,2,common-lisp
.ls,2,2,2,0,0,2,2,1,livescript
.lsp,2,2,2,0,0,2,2,2,common-lisp
.m4,2,2,2,0,0,2,1,1,m4
.man,2,1,2,0,0,2,2,0,roff
.mask,2,1,2,0,0,2,2,0,Mask
.md,2,2,2,0,0,2,2,0,gcc-machine-description
.mdoc,2,1,2,0,0,2,2,0,roff
.ml,2,2,2,0,0,2,2,2,ocaml
.mm,2,1,2,0,0,2,2,0,Objective-C++
.mo,2,1,2,0,0,1,2,0,modelica
.mojo,2,2,2,0,0,1,2,1,mojo
.moo,2,1,2,0,0,2,2,1,mercury
.mps,2,0,2,0,0,0,1,0,JetBrains MPS
.mqh,2,0,2,0,0,2,2,0,MQL4
.msg,2,0,2,0,0,0,0,0,OMNeT++ MSG
.n,2,2,2,1,0,2,2,1,nemerle
.nas,2,1,2,0,2,1,1,1,Assembly
.nb,2,0,2,0,1,2,2,1,Text
.nl,2,2,2,0,0,2,2,1,newlisp
.nr,2,1,2,0,0,1,1,0,Noir
.nu,2,2,2,0,1,1,0,1,nu
.odin,2,1,2,0,0,2,2,1,Object Data Instance Notation
.p,2,1,2,0,0,2,2,1,gnuplot
.pbt,2,1,2,0,0,1,0,1,powerbuilder
.php,2,2,2,1,0,2,2,2,hack
.pkl,2,1,2,0,0,1,0,0,Pickle
.plist,2,0,2,0,0,2,0,0,OpenStep Property List
.plt,2,2,2,0,0,2,2,2,gnuplot
.pluginspec,2,2,2,0,0,2,2,1,ruby
.pod,2,1,2,0,0,2,0,0,pod
.pp,2,2,2,0,0,2,2,1,pascal
.prc,2,1,2,0,0,2,2,1,PLSQL
.properties,2,2,2,0,0,2,2,0,ini
.q,2,2,2,0,1,2,1,1,hiveql
.qs,2,1,2,0,0,0,0,1,q-sharp
.re,2,1,2,0,1,2,2,2,C++
.res,2,2,2,0,0,1,1,1,rescript
.rno,2,2,2,0,0,2,1,0,roff
.rpy,2,0,2,0,1,2,1,1,Python
.rsc,2,1,2,0,0,1,0,1,rascal
.sc,2,2,2,0,0,2,2,2,scala
.scd,2,2,2,0,0,2,2,1,markdown
.scm,2,1,2,0,0,1,2,1,scheme
.shader,2,2,2,0,0,2,1,1,glsl
.sls,2,2,2,0,0,2,2,1,saltstack
.sol,2,2,2,0,0,2,2,0,gerber-image
.srt,2,2,2,0,0,2,0,0,srecode-template
.st,2,1,2,1,0,1,2,1,smalltalk
.star,2,2,2,1,0,1,1,1,star
.svx,2,0,2,0,0,0,0,0,mdsvex
.sw,2,1,2,0,0,1,1,0,Sway
.tact,2,0,2,0,0,1,2,0,JSON
.tl,2,2,2,0,0,1,1,0,teal
.toc,2,2,2,0,0,2,2,1,tex
.tpl,2,1,2,0,0,1,2,0,Go Template
.trigger,2,1,2,0,0,2,2,1,apex
.ts,2,2,2,1,0,2,2,1,typescript
.tsp,2,0,2,0,0,0,0,0,TSPLIB data
.tst,2,2,2,0,0,2,2,2,gap
.tsx,2,1,2,0,0,2,2,0,TSX
.typ,2,2,2,0,0,1,2,0,typst
.vba,2,2,2,0,0,2,2,2,vba
.vcf,2,0,2,0,0,0,0,0,TSV
