ext,source,qid,label,description,aliases,enwiki_title,wikidata_url,wikipedia_url,mime_types,instance_of_labels,instance_of_qids,suggested_label,wikidata_rank,wikipedia_note
!im,wikidata,Q28347555,IBM Audio Visual Connection (AVC) Still Video Image,still image file format,,,https://www.wikidata.org/wiki/Q28347555,,application/octet-stream,image file format,Q1572121,binary:image,normal,
$td,wikidata,Q100243284,Ichitaro Document,file format,,,https://www.wikidata.org/wiki/Q100243284,,application/x-js-taro,document file format,Q336705,binary:other,normal,
000,wikidata,Q105853296,Stacker compressed volume (v4.x),file format,,,https://www.wikidata.org/wiki/Q105853296,,application/octet-stream,file format,Q235557,,normal,
000,wikidata,Q105855769,DoubleDisk compressed volume (v2.5),file format,,,https://www.wikidata.org/wiki/Q105855769,,application/octet-stream,file format,Q235557,,normal,
000,wikidata,Q105857238,Hard Disk Menu System menu,file format,,,https://www.wikidata.org/wiki/Q105857238,,text/plain,file format,Q235557,,normal,
000,wikidata,Q105857456,PathMinder encrypted (v4.00),file format,,,https://www.wikidata.org/wiki/Q105857456,,application/octet-stream,file format,Q235557,,normal,
000,wikidata,Q105857479,GeoWorks data (generic),file format,,,https://www.wikidata.org/wiki/Q105857479,,application/octet-stream,file format,Q235557,,normal,
000,wikidata,Q105860022,Virtual CD image,file format,,,https://www.wikidata.org/wiki/Q105860022,,,file format,Q235557,,normal,
000,wikidata,Q105860081,Viacom New Media graphics,file format,,,https://www.wikidata.org/wiki/Q105860081,,application/octet-stream,file format,Q235557,,normal,
000,wikidata,Q123680176,S-57 Electronic Navigational Chart 3.1,file format,,,https://www.wikidata.org/wiki/Q123680176,,,file format,Q235557,,normal,
001,wikidata,Q105849899,Citect Trend History data (v2),file format,,,https://www.wikidata.org/wiki/Q105849899,,application/octet-stream,file format,Q235557,,normal,
001,wikidata,Q105856387,DoubleSpace compressed volume (v6.0),file format,,,https://www.wikidata.org/wiki/Q105856387,,application/octet-stream,file format,Q235557,,normal,
001,wikidata,Q105857458,CP Backup saved data (v7.x),file format,,,https://www.wikidata.org/wiki/Q105857458,,application/octet-stream,file format,Q235557,,normal,
001,wikidata,Q105857484,SCUMM main data container (v6),file format,,,https://www.wikidata.org/wiki/Q105857484,,application/octet-stream,file format,Q235557,,normal,
001,wikidata,Q105867521,NUTS format,file format,,,https://www.wikidata.org/wiki/Q105867521,,application/octet-stream,file format,Q235557,,normal,
001,wikidata,Q113532977,Wordcraft Chapter File,file format,Wordcraft Chapter Files,,https://www.wikidata.org/wiki/Q113532977,,,file format,Q235557,,normal,
001,wikidata,Q113644754,Hayes JT FAX,file format,,,https://www.wikidata.org/wiki/Q113644754,,,file format,Q235557,,normal,
001,wikidata,Q123680176,S-57 Electronic Navigational Chart 3.1,file format,,,https://www.wikidata.org/wiki/Q123680176,,,file format,Q235557,,normal,
