qid,label,description,aliases,enwiki_title,wikipedia_url,wikidata_url,extensions,matched_pl_kind,instance_of_labels,mime_types
Q25452619,Accelerated Mobile Pages,website publishing technology developed by Google,Accelerated Mobile Pages Project; AMP; amphtml,Accelerated Mobile Pages,https://en.wikipedia.org/wiki/Accelerated_Mobile_Pages,https://www.wikidata.org/wiki/Q25452619,.amp.html,markup language,markup language,
Q2819247,ALTO,standard for text and layout of digitized images,Analyzed Layout and Text Object,Analyzed Layout and Text Object,https://en.wikipedia.org/wiki/Analyzed_Layout_and_Text_Object,https://www.wikidata.org/wiki/Q2819247,.xml,markup language,markup language; XML-based format,text/xml
Q1062254,Channel Definition Format,"XML file format formerly used in conjunction with Microsoft's Active Channel, Active Desktop and Smart Offline Favorites technologies",CDF,Channel Definition Format,https://en.wikipedia.org/wiki/Channel_Definition_Format,https://www.wikidata.org/wiki/Q1062254,.cdf,markup language,markup language; XML-based format,
Q1069211,Chemical Markup Language,markup language and file format,,Chemical Markup Language,https://en.wikipedia.org/wiki/Chemical_Markup_Language,https://www.wikidata.org/wiki/Q1069211,.cml,markup language,markup language; file format,chemical/x-cml
Q1166919,Darwin Information Typing Architecture,XML data model for topic-based authoring and publishing,DITA; Document Information Typing Architecture,Darwin Information Typing Architecture,https://en.wikipedia.org/wiki/Darwin_Information_Typing_Architecture,https://www.wikidata.org/wiki/Q1166919,.xml; .dita,markup language,markup language; file format; technical standard; XML-based format; hypertext system,application/dita+xml
Q796483,DocBook,file format,,DocBook,https://en.wikipedia.org/wiki/DocBook,https://www.wikidata.org/wiki/Q796483,.xml; .dbk,markup language,markup language; document file format,application/docbook+xml
Q1384959,Extensible Forms Description Language,XML-based language for creating digital forms,XFDL,Extensible Forms Description Language,https://en.wikipedia.org/wiki/Extensible_Forms_Description_Language,https://www.wikidata.org/wiki/Q1384959,.frm; .xfd; .xfdl,markup language,markup language; file format,application/vnd.xfdl
Q17090226,Fountain,text markup language,fountain.io,Fountain (markup language),https://en.wikipedia.org/wiki/Fountain_(markup_language),https://www.wikidata.org/wiki/Q17090226,.fountain,markup language,markup language,
Q5513478,GIFT,markup language,,GIFT (file format),https://en.wikipedia.org/wiki/GIFT_(file_format),https://www.wikidata.org/wiki/Q5513478,.gift,markup language,markup language; file format,
Q5592463,Graffiti Markup Language,XML-based file format that stores graffiti motion data,,Graffiti Markup Language,https://en.wikipedia.org/wiki/Graffiti_Markup_Language,https://www.wikidata.org/wiki/Q5592463,.gml,markup language,markup language,
Q288405,hOCR,open standard for OCR'd text,,HOCR,https://en.wikipedia.org/wiki/HOCR,https://www.wikidata.org/wiki/Q288405,.html; .hocr,markup language,markup language; file format,text/html; text/vnd.hocr+html
Q3782232,HTML 4.0,fourth revision of the HTML standard,,HTML 4.0,https://en.wikipedia.org/wiki/HTML_4.0,https://www.wikidata.org/wiki/Q3782232,.html,markup language,markup language; W3C Recommendation; specification edition,text/html
Q2053,HTML5,fifth and current version of the hypertext markup language,HTML 5,HTML5,https://en.wikipedia.org/wiki/HTML5,https://www.wikidata.org/wiki/Q2053,.html; .htm,markup language,markup language; file format; W3C Recommendation; specification edition,text/html
Q1328134,InkML,XML-based markup language,Ink Markup Language,InkML,https://en.wikipedia.org/wiki/InkML,https://www.wikidata.org/wiki/Q1328134,.ink; .inkml,markup language,markup language; W3C Recommendation; XML-based format,application/inkml+xml
Q653301,MusicXML,file format,Music Extensible Markup Language; uncompressed MusicXML; Music XML,MusicXML,https://en.wikipedia.org/wiki/MusicXML,https://www.wikidata.org/wiki/Q653301,.xml; .mxl; .musicxml,markup language,markup language; music file format; XML-based format,application/vnd.recordare.musicxml+xml
Q7178768,Petri Net Markup Language,Petri net file format,PNML,Petri Net Markup Language,https://en.wikipedia.org/wiki/Petri_Net_Markup_Language,https://www.wikidata.org/wiki/Q7178768,.pnml,markup language,markup language; file format,
Q1537885,Precision Graphics Markup Language,two-dimensional vector image file format,PGML,Precision Graphics Markup Language,https://en.wikipedia.org/wiki/Precision_Graphics_Markup_Language,https://www.wikidata.org/wiki/Q1537885,.pgml,markup language,markup language; XML-based format; vector graphics file format,
Q2127640,Railway Markup Language,"open, XML based data exchange format for data interoperability of railway applications",railML; Railml; RailML; .railml; .railmlx,RailML,https://en.wikipedia.org/wiki/RailML,https://www.wikidata.org/wiki/Q2127640,.railmlx; .railml,markup language,markup language; organization; file format; XML-based format,text/xml; application/zip; application/xml
Q16909517,RESTful API Modeling Language,YAML-based language for describing RESTful APIs,RAML,RAML (software),https://en.wikipedia.org/wiki/RAML_(software),https://www.wikidata.org/wiki/Q16909517,.raml,markup language,markup language; data serialization format; RESTful API description language,application/raml+yaml
Q7389358,State Chart XML,XML-based markup language,SCXML; State Machine Notation for Control Abstraction; .scxml,SCXML,https://en.wikipedia.org/wiki/SCXML,https://www.wikidata.org/wiki/Q7389358,.scxml,markup language,markup language; W3C Recommendation; XML-based format,
Q452197,Systems Biology Markup Language,XML file format for biological models,SBML,SBML,https://en.wikipedia.org/wiki/SBML,https://www.wikidata.org/wiki/Q452197,.xml; .sbml,markup language,markup language; text file; XML-based format,application/sbml; application/sbml+xml
Q930428,X3D,group of closely-related XML-based 3D vector document formats,.x3d; .x3dv; .x3dz; .x3dbz; .x3dvz,X3D,https://en.wikipedia.org/wiki/X3D,https://www.wikidata.org/wiki/Q930428,.x3dv; .x3dvz; .x3dbz; .x3dz; .x3d,markup language,markup language; XML-based format; file format family,model/x3d+xml
Q641213,XBEL,markup language,,XBEL,https://en.wikipedia.org/wiki/XBEL,https://www.wikidata.org/wiki/Q641213,.xml,markup language,markup language,application/xbel+xml
Q2115,XML,markup language by the W3C for encoding of data,eXtensible Markup Language; Extensible Markup Language,XML,https://en.wikipedia.org/wiki/XML,https://www.wikidata.org/wiki/Q2115,.xml,markup language,markup language; file format; functional programming language; data serialization format; research tool,text/xml; application/xml
Q5427382,FXML,XML-based user interface markup language,,FXML,https://en.wikipedia.org/wiki/FXML,https://www.wikidata.org/wiki/Q5427382,.fxml,query language,declarative programming language; XML-based format,
Q178817,ASP.NET,server-side web application framework,,ASP.NET,https://en.wikipedia.org/wiki/ASP.NET,https://www.wikidata.org/wiki/Q178817,.aspx; .ascx; .ashx,stylesheet language,software framework; server-side scripting; web framework,
