pl_id,ext,source,strength,source_key,evidence
pl/1c-enterprise,.bsl,linguist,primary,1C Enterprise,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/1c-enterprise,.os,linguist,secondary,1C Enterprise,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/2-dimensional-array,.2da,linguist,primary,2-Dimensional Array,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/4d,.4dm,linguist,primary,4D,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/abap,.abap,linguist,primary,ABAP,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/abap,.abap,pygments,primary,ABAPLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/abap-cds,.asddls,linguist,primary,ABAP CDS,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/abnf,.abnf,linguist,primary,ABNF,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/abnf,.abnf,pygments,primary,AbnfLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/actionscript,.as,linguist,primary,ActionScript,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/actionscript,.as,pygments,primary,ActionScriptLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/ada,.adb,linguist,primary,Ada,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/ada,.ada,linguist,secondary,Ada,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/ada,.ads,linguist,secondary,Ada,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/ada,.adb,pygments,primary,AdaLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/ada,.ads,pygments,secondary,AdaLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/ada,.ada,pygments,secondary,AdaLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/ada-programming-language,.adb,pygments,primary,AdaLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/ada-programming-language,.ads,pygments,secondary,AdaLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/ada-programming-language,.ada,pygments,secondary,AdaLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/adblock-filter-list,.txt,linguist,primary,Adblock Filter List,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/adblock-filter-list,.txt,pygments,primary,TextLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/adobe-font-metrics,.afm,linguist,primary,Adobe Font Metrics,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/agda,.agda,linguist,primary,Agda,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/agda,.agda,pygments,primary,AgdaLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/agda-programming-language,.agda,pygments,primary,AgdaLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/ags-script,.asc,linguist,primary,AGS Script,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/ags-script,.ash,linguist,secondary,AGS Script,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/ags-script,.asc,pygments,primary,AscLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/ags-script,.pem,pygments,secondary,AscLexer,pygments.lexers._mapping.LEXERS (via master CSV)
