ext,n_claimants,n_primary,n_secondary,n_unknown,primary_claimants,secondary_claimants,unknown_claimants
.1,2,1,1,0,Roff Manpage,roff,
.1in,2,0,2,0,,roff; Roff Manpage,
.1m,2,0,2,0,,roff; Roff Manpage,
.1p,4,0,4,0,,groff; nroff; roff; Roff Manpage,
.1x,2,0,2,0,,roff; Roff Manpage,
.2,2,0,2,0,,roff; Roff Manpage,
.2da,1,1,0,0,2-Dimensional Array,,
.3,2,0,2,0,,roff; Roff Manpage,
.3dmlw,1,0,0,0,,,
.3ds,1,1,0,0,3ds,,
.3in,2,0,2,0,,roff; Roff Manpage,
.3m,2,0,2,0,,roff; Roff Manpage,
.3mf,1,1,0,0,3mf,,
.3p,2,0,2,0,,roff; Roff Manpage,
.3pm,4,0,4,0,,groff; nroff; roff; Roff Manpage,
.3qt,2,0,2,0,,roff; Roff Manpage,
.3x,2,0,2,0,,roff; Roff Manpage,
.4,2,0,2,0,,roff; Roff Manpage,
.4db,1,1,0,0,4D,,
.4dc,1,1,0,0,4D,,
.4dform,1,0,1,0,,JSON,
.4dm,1,1,0,0,4D,,
.4dproject,1,0,1,0,,JSON,
.4gl,1,1,0,0,Genero 4gl,,
.4th,1,1,0,0,forth,,
.5,2,0,2,0,,roff; Roff Manpage,
.6,2,0,2,0,,roff; Roff Manpage,
.6pl,2,1,1,0,raku,Raku (programming language),
.6pm,2,0,2,0,,raku; Raku (programming language),
.7,2,0,2,0,,roff; Roff Manpage,
.8,2,0,2,0,,roff; Roff Manpage,
.8xp,1,1,0,0,TI Program,,
.9,2,0,2,0,,roff; Roff Manpage,
._coffee,1,0,1,0,,coffeescript,
._exrc,2,0,2,0,,vim; vim-script,
._gvimrc,2,0,2,0,,vim; vim-script,
._js,1,0,1,0,,javascript,
._ls,1,0,1,0,,livescript,
._vimrc,2,0,2,0,,vim; vim-script,
.a,1,0,0,0,,,
.a3x,1,1,0,0,autoit,,
.a51,1,0,1,0,,Assembly,
.abap,1,1,0,0,abap,,
.abc,2,1,0,0,alembic,,
.abnf,1,1,0,0,abnf,,
.acm,1,0,1,0,,Pe,
.action,1,0,1,0,,ROS Interface,
.ada,2,0,2,0,,ada; Ada (programming language),
.adb,2,2,0,0,ada; Ada (programming language),,
.adml,1,0,1,0,,xml,
.admx,1,0,1,0,,xml,
.ado,2,0,2,0,,DO; stata,
.adoc,1,1,0,0,asciidoc,,
.adp,1,0,1,0,,tcl,
.ads,2,0,2,0,,ada; Ada (programming language),
.aes,1,1,0,0,sophia,,
.afm,1,1,0,0,adobe-font-metrics,,
.agc,1,1,0,0,apollo-guidance-computer,,
.agda,2,2,0,0,agda; Agda (programming language),,
.aheui,1,1,0,0,aheui,,
.ahk,1,1,0,0,autohotkey,,
.ahkl,1,0,1,0,,autohotkey,
.aidl,1,1,0,0,AIDL,,
.aiml,1,0,0,0,,,
.aj,1,1,0,0,aspectj,,
.ak,1,1,0,0,Aiken,,
.al,3,1,1,0,al,perl,
.ale,1,1,0,0,ale,,
.alg,2,2,0,0,algol; Portugol,,
.als,1,1,0,0,Alloy,,
.amf,1,1,0,0,amf,,
.aml,3,0,0,0,,,
.ampl,1,1,0,0,ampl,,
.amx,1,1,0,0,pawn,,
.anair,1,1,0,0,lua,,
.angelscript,1,0,1,0,,angelscript,
.anim,1,1,0,0,unity3d-asset,,
.animl,1,0,0,0,,,
.ant,1,0,1,0,,xml,
.apacheconf,1,1,0,0,apacheconf,,
.apex,1,0,1,0,,apex,
.apib,1,1,0,0,api-blueprint,,
.apl,2,2,0,0,apl; APL (programming language),,
.aplc,2,0,2,0,,apl; APL (programming language),
.aplf,2,0,2,0,,apl; APL (programming language),
.apli,2,0,2,0,,apl; APL (programming language),
.apln,2,0,2,0,,apl; APL (programming language),
.aplo,2,0,2,0,,apl; APL (programming language),
.app,1,0,1,0,,erlang,
.applescript,1,1,0,0,applescript,,
.aqasm,1,1,0,0,aqasm,,
.arc,1,1,0,0,arc,,
.arexx,2,0,2,0,,arexx; rexx,
.arff,1,1,0,0,Attribute-Relation File Format,,
.arpa,1,0,1,0,,DNS Zone,
.arr,1,1,0,0,pyret,,
.art,1,1,0,0,arturo,,
.arw,1,1,0,0,arrow,,
.as,4,2,0,0,actionscript; angelscript,,
.asax,1,1,0,0,asp.net,,
.asc,4,3,1,0,ags-script; asciidoc; Public Key,ASCII art,
.ascii,1,0,1,0,,ASCII art,
.asciidoc,1,1,0,0,asciidoc,,
.ascx,1,0,1,0,,asp.net,
.asd,1,0,1,0,,common-lisp,
.asddls,1,1,0,0,ABAP CDS,,
.ash,2,1,1,0,KoLmafia ASH,ags-script,
.ashx,1,0,1,0,,asp.net,
.asl,1,1,0,0,ASL,,
.asm,5,5,0,0,ASM; Assembly; Motorola 68K Assembly; nasm; tasm,,
.asmx,1,0,1,0,,asp.net,
.asn,1,1,0,0,ASN.1,,
.asn1,1,1,0,0,ASN.1,,
.asp,3,2,0,0,asp; Classic ASP,,
.aspx,2,2,0,0,asp; asp.net,,
.asset,1,0,1,0,,unity3d-asset,
.astro,1,1,0,0,astro,,
.asx,1,1,0,0,Advanced Stream Redirector,,
.asy,2,2,0,0,asymptote; LTspice Symbol,,
.at,2,2,0,0,ambienttalk; AT,,
.ats,1,1,0,0,AtScript,,
.au3,1,1,0,0,autoit,,
.aug,1,1,0,0,augeas,,
.auk,1,0,1,0,,awk,
.autodelegate,1,0,1,0,,myghty,
.autohandler,3,0,3,0,,m4; Monkey C; Win32 Message File,
.aux,2,0,2,0,,latex; tex,
.avdl,1,1,0,0,Avro IDL,,
.avfp,1,1,0,0,activevfp,,
.avi,1,0,1,0,,Dirac,
.avr,1,1,0,0,avr,,
.avsc,1,0,1,0,,JSON,
.aw,1,0,1,0,,php,
.awk,3,3,0,0,awk; mawk; nawk,,
.awl,2,0,0,0,,,
.ax,1,0,1,0,,Pe,
.axaml,1,0,1,0,,xml,
.axd,1,0,1,0,,asp.net,
.axf,1,0,1,0,,elf,
.axi,1,0,1,0,,netlinx,
.axml,1,0,1,0,,xml,
.axs,1,1,0,0,netlinx,,
.azsl,1,1,0,0,Amazon Shading Language,,
.azsli,1,1,0,0,Amazon Shading Language,,
.b,5,2,2,0,brainfuck; limbo,beef; hyphy,
.bag,1,1,0,0,Bag,,
.bal,1,1,0,0,ballerina,,
.bas,11,7,2,0,B4X; basic; freebasic; qbasic; quickbasic; vba; Visual Basic 6.0,Visual Basic .NET; visual-basic,
.bash,6,0,6,0,,bash; Gentoo Eclass; gentoo-ebuild; openrc-runscript; sh; Shell,
.bashrc,6,0,6,0,,bash; Gentoo Eclass; gentoo-ebuild; openrc-runscript; sh; Shell,
.bat,4,4,0,0,batch; Batchfile; rexx; winbatch,,
.bats,1,0,1,0,,Shell,
.bb,3,2,1,0,bitbake; blitzbasic,clojure,
.bbappend,1,0,1,0,,bitbake,
.bbclass,1,0,1,0,,bitbake,
.bbm,1,1,0,0,ilbm,,
.bbx,1,0,1,0,,tex,
.bc,1,1,0,0,bc,,
.bdf,1,1,0,0,glyph-bitmap-distribution-format,,
.bdy,1,0,1,0,,PLSQL,
.be,1,1,0,0,berry,,
.befunge,1,1,0,0,befunge,,
.bel,1,1,0,0,bel,,
.bf,4,3,1,0,beef; brainfuck; hyphy,befunge,
.bi,2,1,1,0,freebasic,quickbasic,
.bib,1,1,0,0,bibtex,,
.bibtex,1,0,1,0,,bibtex,
.bicep,1,1,0,0,Bicep,,
.bicepparam,1,0,1,0,,Bicep,
.biml,1,1,0,0,Business Intelligence Markup Language,,
.bin,1,0,1,0,,elf,
.binpb,1,0,0,0,,,
.bison,1,1,0,0,bison,,
.blade,1,1,0,0,blade,,
.bmx,1,1,0,0,blitzmax,,
.bnf,1,1,0,0,bnf,,
.boa,1,1,0,0,boa,,
.bones,1,0,1,0,,javascript,
.boo,2,2,0,0,boo; Boo (programming language),,
.boot,1,0,1,0,,clojure,
.box,1,1,0,0,.box,,
.bpl,1,1,0,0,boogie,,
.bqn,1,1,0,0,bqn,,
.brd,2,1,1,0,KiCad Legacy Layout,eagle,
.bro,2,0,2,0,,bro; zeek,
.brs,1,1,0,0,Brightscript,,
.bru,1,1,0,0,Bru,,
.bs,3,3,0,0,Bikeshed; Bluespec BH; BrighterScript,,
.bsdl,2,0,0,0,,,
.bsl,1,1,0,0,1c-enterprise,,
.bson,1,0,0,0,,,
.bsp,1,1,0,0,bsp,,
.bsq,1,0,0,0,,,
.bst,2,2,0,0,BibTeX Style; BuildStream,,
.bsv,1,1,0,0,bluespec,,
.btm,2,1,1,0,4DOS,Batchfile,
.buck,6,0,6,0,,bazel; py; Python; Python (programming language); sage; starlark,
.build,6,0,6,0,,bazel; py; Python; Python (programming language); sage; starlark,
.builder,1,0,1,0,,ruby,
.builds,1,0,1,0,,xml,
.bup,1,0,1,0,,ifo,
.bw,1,0,1,0,,Iris,
.bzl,6,1,5,0,starlark,bazel; py; Python; Python (programming language); sage,
.c,5,4,1,0,C; C (programming language); C++; objective-c,cpp,
.c++,2,1,1,0,C++,cpp,
.c++-objdump,1,0,1,0,,Cpp-ObjDump,
.c++objdump,1,0,1,0,,Cpp-ObjDump,
.c--,1,1,0,0,C--,,
