heuristic_id,applies_to_ext,priority,predicts_language,predicts_pl_id,pattern_kind,predicates_json,source
h/linguist/.1/0,.1,0,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dd +(?:[^\""\\s]+|\""[^\""]+\"")""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dt +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Sh +(?:[^\""\\s]|\""[^\""]+\"")""]}]",linguist/heuristics.yml
h/linguist/.1/1,.1,1,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*TH +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*SH +(?:[^\""\\s]+|\""[^\""\\s]+)""]}]",linguist/heuristics.yml
h/linguist/.1/2,.1,2,Roff,pl/roff,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\.(?:[A-Za-z]{2}(?:\\s|$)|\\\\\"")""]}]",linguist/heuristics.yml
h/linguist/.1/3,.1,3,Text,pl/text,default,[],linguist/heuristics.yml
h/linguist/.2/0,.2,0,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dd +(?:[^\""\\s]+|\""[^\""]+\"")""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dt +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Sh +(?:[^\""\\s]|\""[^\""]+\"")""]}]",linguist/heuristics.yml
h/linguist/.2/1,.2,1,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*TH +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*SH +(?:[^\""\\s]+|\""[^\""\\s]+)""]}]",linguist/heuristics.yml
h/linguist/.2/2,.2,2,Roff,pl/roff,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\.(?:[A-Za-z]{2}(?:\\s|$)|\\\\\"")""]}]",linguist/heuristics.yml
h/linguist/.2/3,.2,3,Text,pl/text,default,[],linguist/heuristics.yml
h/linguist/.3/0,.3,0,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dd +(?:[^\""\\s]+|\""[^\""]+\"")""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dt +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Sh +(?:[^\""\\s]|\""[^\""]+\"")""]}]",linguist/heuristics.yml
h/linguist/.3/1,.3,1,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*TH +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*SH +(?:[^\""\\s]+|\""[^\""\\s]+)""]}]",linguist/heuristics.yml
h/linguist/.3/2,.3,2,Roff,pl/roff,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\.(?:[A-Za-z]{2}(?:\\s|$)|\\\\\"")""]}]",linguist/heuristics.yml
h/linguist/.3/3,.3,3,Text,pl/text,default,[],linguist/heuristics.yml
h/linguist/.4/0,.4,0,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dd +(?:[^\""\\s]+|\""[^\""]+\"")""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dt +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Sh +(?:[^\""\\s]|\""[^\""]+\"")""]}]",linguist/heuristics.yml
h/linguist/.4/1,.4,1,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*TH +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*SH +(?:[^\""\\s]+|\""[^\""\\s]+)""]}]",linguist/heuristics.yml
h/linguist/.4/2,.4,2,Roff,pl/roff,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\.(?:[A-Za-z]{2}(?:\\s|$)|\\\\\"")""]}]",linguist/heuristics.yml
h/linguist/.4/3,.4,3,Text,pl/text,default,[],linguist/heuristics.yml
h/linguist/.5/0,.5,0,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dd +(?:[^\""\\s]+|\""[^\""]+\"")""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dt +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Sh +(?:[^\""\\s]|\""[^\""]+\"")""]}]",linguist/heuristics.yml
h/linguist/.5/1,.5,1,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*TH +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*SH +(?:[^\""\\s]+|\""[^\""\\s]+)""]}]",linguist/heuristics.yml
h/linguist/.5/2,.5,2,Roff,pl/roff,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\.(?:[A-Za-z]{2}(?:\\s|$)|\\\\\"")""]}]",linguist/heuristics.yml
h/linguist/.5/3,.5,3,Text,pl/text,default,[],linguist/heuristics.yml
h/linguist/.6/0,.6,0,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dd +(?:[^\""\\s]+|\""[^\""]+\"")""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dt +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Sh +(?:[^\""\\s]|\""[^\""]+\"")""]}]",linguist/heuristics.yml
h/linguist/.6/1,.6,1,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*TH +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*SH +(?:[^\""\\s]+|\""[^\""\\s]+)""]}]",linguist/heuristics.yml
h/linguist/.6/2,.6,2,Roff,pl/roff,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\.(?:[A-Za-z]{2}(?:\\s|$)|\\\\\"")""]}]",linguist/heuristics.yml
h/linguist/.6/3,.6,3,Text,pl/text,default,[],linguist/heuristics.yml
h/linguist/.7/0,.7,0,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dd +(?:[^\""\\s]+|\""[^\""]+\"")""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dt +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Sh +(?:[^\""\\s]|\""[^\""]+\"")""]}]",linguist/heuristics.yml
h/linguist/.7/1,.7,1,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*TH +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*SH +(?:[^\""\\s]+|\""[^\""\\s]+)""]}]",linguist/heuristics.yml
h/linguist/.7/2,.7,2,Roff,pl/roff,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\.(?:[A-Za-z]{2}(?:\\s|$)|\\\\\"")""]}]",linguist/heuristics.yml
h/linguist/.7/3,.7,3,Text,pl/text,default,[],linguist/heuristics.yml
h/linguist/.8/0,.8,0,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dd +(?:[^\""\\s]+|\""[^\""]+\"")""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dt +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Sh +(?:[^\""\\s]|\""[^\""]+\"")""]}]",linguist/heuristics.yml
h/linguist/.8/1,.8,1,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*TH +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*SH +(?:[^\""\\s]+|\""[^\""\\s]+)""]}]",linguist/heuristics.yml
h/linguist/.8/2,.8,2,Roff,pl/roff,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\.(?:[A-Za-z]{2}(?:\\s|$)|\\\\\"")""]}]",linguist/heuristics.yml
h/linguist/.8/3,.8,3,Text,pl/text,default,[],linguist/heuristics.yml
