pl_id,canonical_name,lang_id_master,linguist_key,pygments_name,hyperpolyglot_name,rosettacode_name,rosettacode_url,esolang_url,source_flags,source_count,first_appeared,homepage,evidence_urls,paradigms,typing,designed_by,types,in_pldb,in_linguist,in_pygments,in_wikipedia,in_esolang,in_hyperpolyglot,in_rosettacode,in_manual_add,in_wikidata,created_via_issue,wikidata_qid,wikipedia_url,wikidata_url
pl/bang,!,id-0ab8318a,,,,,,https://esolangs.org/wiki/%21,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/bangbang,!!,id-b4613f86,,,,,,https://esolangs.org/wiki/%21%21,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/bangbangbang,!!!,id-9a7b006d,,,,,,https://esolangs.org/wiki/%21%21%21,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/bangbangbangbang,!!!!,id-f6bb43b4,,,,,,https://esolangs.org/wiki/%21%21%21%21,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/bang-2,!(),id-a68c1200,,,,,,https://esolangs.org/wiki/%21%28%29,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/bang-star,!/*,id-f24ee728,,,,,,https://esolangs.org/wiki/%21%2F%2A,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/bang-3,!Мова,id-74f64b50,,,,,,https://esolangs.org/wiki/%21%D0%9C%D0%BE%D0%B2%D0%B0,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/bang-4,!한국어,id-41ae1c72,,,,,,https://esolangs.org/wiki/%21%ED%95%9C%EA%B5%AD%EC%96%B4,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown,$,id-3cdf2936,,,,,,https://esolangs.org/wiki/%24,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-2,$ $,id-7b0bf971,,,,,,https://esolangs.org/wiki/%24_%24,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/bang-5,$!,id-2b2bf58d,,,,,,https://esolangs.org/wiki/%24%21,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/and,&,id-7c4d3378,,,,,,https://esolangs.org/wiki/%26,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-3,(,id-28ed3a79,,,,,,https://esolangs.org/wiki/%28,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-4,( ),id-fcc44c6b,,,,,,https://esolangs.org/wiki/%28_%29,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-5,((,id-3f9be36f,,,,,,https://esolangs.org/wiki/%28%28,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-6,(()),id-aa75362b,,,,,,https://esolangs.org/wiki/%28%28%29%29,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/q-q-q,((?)?)?,id-7f65b96d,,,,,,https://esolangs.org/wiki/%28%28%3F%29%3F%29%3F,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-7,(),id-f9065fa7,,,,,,https://esolangs.org/wiki/%28%29,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-8,()()(()),id-d11d7c18,,,,,,https://esolangs.org/wiki/%28%29%28%29%28%28%29%29,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/star,(*),id-373c7648,,,,,,https://esolangs.org/wiki/%28%2A%29,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/bang-6,"(,!)",id-7f69580c,,,,,,https://esolangs.org/wiki/%28%2C%21%29,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-9,"(,)",id-d2193eb3,,,,,,https://esolangs.org/wiki/%28%2C%29,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/qbang,(?!),id-b1528e3b,,,,,,https://esolangs.org/wiki/%28%3F%21%29,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-10,),id-e7064f0b,,,,,,https://esolangs.org/wiki/%29,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-11,):,id-67f69ef0,,,,,,https://esolangs.org/wiki/%29%3A,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/star-2,*,id-df58248c,,,,,,https://esolangs.org/wiki/%2A,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/star-at-bang,*$@(^$)!,id-cf4460b0,,,,,,https://esolangs.org/wiki/%2A%24%40%28%5E%24%29%21,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/starstarstar,***,id-36c3eaa0,,,,,,https://esolangs.org/wiki/%2A%2A%2A,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-12,",",id-5c10b5b2,,,,,,https://esolangs.org/wiki/%2C,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-13,",()",id-54cb765d,,,,,,https://esolangs.org/wiki/%2C%28%29,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-14,",,,",id-e7d4683b,,,,,,https://esolangs.org/wiki/%2C%2C%2C,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-15,/,id-42099b4a,,,,,,https://esolangs.org/wiki/%2F,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-16,///,id-c64b8480,,,,,,https://esolangs.org/wiki/%2F%2F%2F,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-17,;,id-2d14ab97,,,,,,https://esolangs.org/wiki/%3B,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-18,; ;;,id-6aade5a8,,,,,,https://esolangs.org/wiki/%3B_%3B%3B,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-19,;;;,id-b8354ba4,,,,,,https://esolangs.org/wiki/%3B%3B%3B,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-20,=,id-21606782,,,,,,https://esolangs.org/wiki/%3D,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/q,=?,id-9f64d1d4,,,,,,https://esolangs.org/wiki/%3D%3F,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/q-2,?,id-5bab61eb,,,,,,https://esolangs.org/wiki/%3F,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/qbang-2,?!,id-59c2264c,,,,,,https://esolangs.org/wiki/%3F%21,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/qqq,???,id-2d86c2a6,,,,,,https://esolangs.org/wiki/%3F%3F%3F,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/qqqq,????,id-3b93fd2d,,,,,,https://esolangs.org/wiki/%3F%3F%3F%3F,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/at,@,id-9a782114,,,,,,https://esolangs.org/wiki/%40,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-21,\,id-08534f33,,,,,,https://esolangs.org/wiki/%5C,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-22,\/,id-9d7df07c,,,,,,https://esolangs.org/wiki/%5C%2F,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-23,\\\,id-edd45bec,,,,,,https://esolangs.org/wiki/%5C%5C%5C,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
pl/unknown-24,^,id-5e6f80a3,,,,,,https://esolangs.org/wiki/%5E,esolang,1,,,https://esolangs.org/wiki/Category:Languages,,,,esolang,no,no,no,no,yes,no,no,no,no,,,,
