pl_id,field,value,source,evidence
pl/exe,designed_by,Microsoft,wikipedia,https://en.wikipedia.org/wiki/Windows_Executable_File
pl/3ds,designed_by,Autodesk Inc,wikipedia,https://en.wikipedia.org/wiki/.3ds
pl/3mf,designed_by,3MF Consortium,wikipedia,https://en.wikipedia.org/wiki/3D_Manufacturing_Format
pl/3mf,first_appeared,2015,wikipedia,https://en.wikipedia.org/wiki/3D_Manufacturing_Format
pl/3mf,homepage,https://3mf.io/spec/,wikipedia,https://en.wikipedia.org/wiki/3D_Manufacturing_Format
pl/4d,designed_by,4D SAS,wikipedia,https://en.wikipedia.org/wiki/4th_Dimension_(software)
pl/4d,designed_by,Laurent Ribardière,wikipedia,https://en.wikipedia.org/wiki/4th_Dimension_(software)
pl/4d,first_appeared,1993,wikipedia,https://en.wikipedia.org/wiki/4th_Dimension_(software)
pl/4d,license,Proprietary,wikipedia,https://en.wikipedia.org/wiki/4th_Dimension_(software)
pl/4d,implementation_languages,C,wikipedia,https://en.wikipedia.org/wiki/4th_Dimension_(software)
pl/4d,implementation_languages,C++,wikipedia,https://en.wikipedia.org/wiki/4th_Dimension_(software)
pl/4d,homepage,http://us.4d.com,wikipedia,https://en.wikipedia.org/wiki/4th_Dimension_(software)
pl/a-programming-language,paradigms,array,wikipedia,https://en.wikipedia.org/wiki/A%2B_(programming_language)
pl/a-programming-language,typing,"dynamic, strong",wikipedia,https://en.wikipedia.org/wiki/A%2B_(programming_language)
pl/a-programming-language,designed_by,Morgan Stanley,wikipedia,https://en.wikipedia.org/wiki/A%2B_(programming_language)
pl/a-programming-language,designed_by,Arthur Whitney,wikipedia,https://en.wikipedia.org/wiki/A%2B_(programming_language)
pl/a-programming-language,first_appeared,1988,wikipedia,https://en.wikipedia.org/wiki/A%2B_(programming_language)
pl/a-programming-language,influenced_by,APL,wikipedia,https://en.wikipedia.org/wiki/A%2B_(programming_language)
pl/a-programming-language,license,GNU General Public License,wikipedia,https://en.wikipedia.org/wiki/A%2B_(programming_language)
pl/a-programming-language,homepage,http://www.aplusdev.org/,wikipedia,https://en.wikipedia.org/wiki/A%2B_(programming_language)
pl/abap,paradigms,object-oriented,wikipedia,https://en.wikipedia.org/wiki/ABAP
pl/abap,paradigms,structured,wikipedia,https://en.wikipedia.org/wiki/ABAP
pl/abap,paradigms,imperative,wikipedia,https://en.wikipedia.org/wiki/ABAP
pl/abap,typing,"static, strong, safe, nominative",wikipedia,https://en.wikipedia.org/wiki/ABAP
pl/abap,designed_by,SAP SE,wikipedia,https://en.wikipedia.org/wiki/ABAP
pl/abap,first_appeared,1983,wikipedia,https://en.wikipedia.org/wiki/ABAP
pl/abap,influenced_by,Objective-C,wikipedia,https://en.wikipedia.org/wiki/ABAP
pl/abap,influenced_by,COBOL,wikipedia,https://en.wikipedia.org/wiki/ABAP
pl/abap,influenced_by,SQL,wikipedia,https://en.wikipedia.org/wiki/ABAP
pl/abap,homepage,https://community.sap.com/topics/abap,wikipedia,https://en.wikipedia.org/wiki/ABAP
pl/abc,paradigms,multi-paradigm: imperative,wikipedia,https://en.wikipedia.org/wiki/ABC_(programming_language)
pl/abc,paradigms,procedural,wikipedia,https://en.wikipedia.org/wiki/ABC_(programming_language)
pl/abc,paradigms,structured,wikipedia,https://en.wikipedia.org/wiki/ABC_(programming_language)
pl/abc,typing,"strong, polymorphic",wikipedia,https://en.wikipedia.org/wiki/ABC_(programming_language)
pl/abc,designed_by,Centrum Wiskunde,wikipedia,https://en.wikipedia.org/wiki/ABC_(programming_language)
pl/abc,designed_by,Informatica (CWI),wikipedia,https://en.wikipedia.org/wiki/ABC_(programming_language)
pl/abc,designed_by,Leo Geurts,wikipedia,https://en.wikipedia.org/wiki/ABC_(programming_language)
pl/abc,designed_by,Lambert Meertens,wikipedia,https://en.wikipedia.org/wiki/ABC_(programming_language)
pl/abc,designed_by,Steven Pemberton,wikipedia,https://en.wikipedia.org/wiki/ABC_(programming_language)
pl/abc,first_appeared,1987,wikipedia,https://en.wikipedia.org/wiki/ABC_(programming_language)
pl/abc,influenced_by,SETL,wikipedia,https://en.wikipedia.org/wiki/ABC_(programming_language)
pl/abc,influenced_by,ALGOL 68,wikipedia,https://en.wikipedia.org/wiki/ABC_(programming_language)
pl/abc,homepage,https://homepages.cwi.nl/~steven/abc/,wikipedia,https://en.wikipedia.org/wiki/ABC_(programming_language)
pl/absys,paradigms,logic,wikipedia,https://en.wikipedia.org/wiki/Absys
pl/absys,first_appeared,1967,wikipedia,https://en.wikipedia.org/wiki/Absys
pl/acl2,paradigms,functional,wikipedia,https://en.wikipedia.org/wiki/ACL2
pl/acl2,paradigms,meta,wikipedia,https://en.wikipedia.org/wiki/ACL2
pl/acl2,typing,dynamic,wikipedia,https://en.wikipedia.org/wiki/ACL2
pl/acl2,designed_by,Matt Kaufmann,wikipedia,https://en.wikipedia.org/wiki/ACL2
pl/acl2,designed_by,J Strother Moore,wikipedia,https://en.wikipedia.org/wiki/ACL2
pl/acl2,designed_by,Robert S. Boyer,wikipedia,https://en.wikipedia.org/wiki/ACL2
pl/acl2,first_appeared,1990,wikipedia,https://en.wikipedia.org/wiki/ACL2
pl/acl2,influenced_by,Common Lisp,wikipedia,https://en.wikipedia.org/wiki/ACL2
pl/acl2,influenced_by,Nqthm,wikipedia,https://en.wikipedia.org/wiki/ACL2
pl/acl2,license,BSD,wikipedia,https://en.wikipedia.org/wiki/ACL2
pl/acl2,homepage,http://www.cs.utexas.edu/users/moore/acl2,wikipedia,https://en.wikipedia.org/wiki/ACL2
pl/action,designed_by,Optimized Systems Software,wikipedia,https://en.wikipedia.org/wiki/Action!_(programming_language)
pl/action,first_appeared,1983,wikipedia,https://en.wikipedia.org/wiki/Action!_(programming_language)
pl/actionscript,paradigms,multi-paradigm: object-oriented (prototype-based),wikipedia,https://en.wikipedia.org/wiki/ActionScript
pl/actionscript,paradigms,functional,wikipedia,https://en.wikipedia.org/wiki/ActionScript
pl/actionscript,paradigms,imperative,wikipedia,https://en.wikipedia.org/wiki/ActionScript
pl/actionscript,paradigms,scripting,wikipedia,https://en.wikipedia.org/wiki/ActionScript
pl/actionscript,typing,"strong, static",wikipedia,https://en.wikipedia.org/wiki/ActionScript
pl/actionscript,designed_by,Macromedia (merged into Adobe Systems,wikipedia,https://en.wikipedia.org/wiki/ActionScript
pl/actionscript,designed_by,2005),wikipedia,https://en.wikipedia.org/wiki/ActionScript
pl/actionscript,designed_by,Gary Grossman,wikipedia,https://en.wikipedia.org/wiki/ActionScript
