pygments_name,pygments_aliases,pygments_filenames,pygments_module
ActionScript3Lexer,actionscript3;as3,*.as,pygments.lexers.actionscript
AdlLexer,adl,*.adl;*.adls;*.adlf;*.adlx,pygments.lexers.archetype
AMDGPULexer,amdgpu,*.isa,pygments.lexers.amdgpu
Angular2HtmlLexer,html+ng2,*.ng2,pygments.lexers.templates
Angular2Lexer,ng2,,pygments.lexers.templates
AntlrActionScriptLexer,antlr-actionscript;antlr-as,*.G;*.g,pygments.lexers.parsers
AntlrCppLexer,antlr-cpp,*.G;*.g,pygments.lexers.parsers
AntlrCSharpLexer,antlr-csharp;antlr-c#,*.G;*.g,pygments.lexers.parsers
AntlrJavaLexer,antlr-java,*.G;*.g,pygments.lexers.parsers
AntlrObjectiveCLexer,antlr-objc,*.G;*.g,pygments.lexers.parsers
AntlrPerlLexer,antlr-perl,*.G;*.g,pygments.lexers.parsers
AntlrPythonLexer,antlr-python,*.G;*.g,pygments.lexers.parsers
AntlrRubyLexer,antlr-ruby;antlr-rb,*.G;*.g,pygments.lexers.parsers
apdlexer,ansys;apdl,*.ans,pygments.lexers.apdlexer
BareLexer,bare,*.bare,pygments.lexers.bare
BaseMakefileLexer,basemake,,pygments.lexers.make
BBCBasicLexer,bbcbasic,*.bbc,pygments.lexers.basic
BddLexer,bdd,*.feature,pygments.lexers.bdd
BlueprintLexer,blueprint,*.blp,pygments.lexers.blueprint
BugsLexer,bugs;winbugs;openbugs,*.bug,pygments.lexers.modeling
Ca65Lexer,ca65,*.s,pygments.lexers.asm
CadlLexer,cadl,*.cadl,pygments.lexers.archetype
CAmkESLexer,camkes;idl4,*.camkes;*.idl4,pygments.lexers.esoteric
CapDLLexer,capdl,*.cdl,pygments.lexers.esoteric
CbmBasicV2Lexer,cbmbas,*.bas,pygments.lexers.basic
CddlLexer,cddl,*.cddl,pygments.lexers.cddl
Cfengine3Lexer,cfengine3;cf3,*.cf,pygments.lexers.configs
CharmciLexer,charmci,*.ci,pygments.lexers.c_like
CheetahHtmlLexer,html+cheetah;html+spitfire;htmlcheetah,,pygments.lexers.templates
CheetahJavascriptLexer,javascript+cheetah;js+cheetah;javascript+spitfire;js+spitfire,,pygments.lexers.templates
CheetahXmlLexer,xml+cheetah;xml+spitfire,,pygments.lexers.templates
CobolFreeformatLexer,cobolfree,*.cbl;*.CBL,pygments.lexers.business
ColdfusionLexer,cfs,,pygments.lexers.templates
CplintLexer,cplint,*.ecl;*.prolog;*.pro;*.pl;*.P;*.lpad;*.cpl,pygments.lexers.cplint
CPSALexer,cpsa,*.cpsa,pygments.lexers.lisp
CSharpAspxLexer,aspx-cs,*.aspx;*.asax;*.ascx;*.ashx;*.asmx;*.axd,pygments.lexers.dotnet
CssDjangoLexer,css+django;css+jinja,*.css.j2;*.css.jinja2,pygments.lexers.templates
CssErbLexer,css+ruby;css+erb,,pygments.lexers.templates
CssGenshiLexer,css+genshitext;css+genshi,,pygments.lexers.templates
CssPhpLexer,css+php,,pygments.lexers.templates
CssSmartyLexer,css+smarty,,pygments.lexers.templates
CSSUL4Lexer,css+ul4,*.cssul4,pygments.lexers.ul4
Dasm16Lexer,dasm16,*.dasm16;*.dasm,pygments.lexers.asm
DebianControlLexer,debcontrol;control,control,pygments.lexers.installers
DebianSourcesLexer,debian.sources,*.sources,pygments.lexers.installers
DylanConsoleLexer,dylan-console;dylan-repl,*.dylan-console,pygments.lexers.dylan
DylanLidLexer,dylan-lid;lid,*.lid;*.hdp,pygments.lexers.dylan
ElixirConsoleLexer,iex,,pygments.lexers.erlang
ErlangShellLexer,erl,*.erl-sh,pygments.lexers.erlang
EvoqueHtmlLexer,html+evoque,,pygments.lexers.templates
EvoqueLexer,evoque,*.evoque,pygments.lexers.templates
EvoqueXmlLexer,xml+evoque,,pygments.lexers.templates
FiftLexer,fift;fif,*.fif,pygments.lexers.fift
FortranFixedLexer,fortranfixed,*.f;*.F,pygments.lexers.fortran
GAPConsoleLexer,gap-console;gap-repl,*.tst,pygments.lexers.algebra
GenshiTextLexer,genshitext,,pygments.lexers.templates
GoodDataCLLexer,gooddata-cl,*.gdc,pygments.lexers.business
GoogleSqlLexer,googlesql;zetasql,*.googlesql;*.googlesql.sql,pygments.lexers.sql
GosuTemplateLexer,gst,*.gst,pygments.lexers.jvm
HandlebarsHtmlLexer,html+handlebars,*.handlebars;*.hbs,pygments.lexers.templates
HsailLexer,hsail;hsa,*.hsail,pygments.lexers.asm
HtmlDjangoLexer,html+django;html+jinja;htmldjango,*.html.j2;*.htm.j2;*.xhtml.j2;*.html.jinja2;*.htm.jinja2;*.xhtml.jinja2,pygments.lexers.templates
HtmlGenshiLexer,html+genshi;html+kid,,pygments.lexers.templates
HtmlSmartyLexer,html+smarty,,pygments.lexers.templates
HTMLUL4Lexer,html+ul4,*.htmlul4,pygments.lexers.ul4
HybrisLexer,hybris,*.hyb,pygments.lexers.scripting
Inform6Lexer,inform6;i6,*.inf,pygments.lexers.int_fiction
Inform6TemplateLexer,i6t,*.i6t,pygments.lexers.int_fiction
JagsLexer,jags,*.jag;*.bug,pygments.lexers.modeling
JavascriptDjangoLexer,javascript+django;js+django;javascript+jinja;js+jinja,*.js.j2;*.js.jinja2,pygments.lexers.templates
JavascriptGenshiLexer,js+genshitext;js+genshi;javascript+genshitext;javascript+genshi,,pygments.lexers.templates
JavascriptPhpLexer,javascript+php;js+php,,pygments.lexers.templates
JavascriptSmartyLexer,javascript+smarty;js+smarty,,pygments.lexers.templates
JavascriptUL4Lexer,js+ul4,*.jsul4,pygments.lexers.ul4
JsonBareObjectLexer,,,pygments.lexers.data
JuliaConsoleLexer,jlcon;julia-repl,,pygments.lexers.julia
KconfigLexer,kconfig;menuconfig;linux-config;kernel-config,Kconfig*;*Config.in*;external.in*;standard-modules.in,pygments.lexers.configs
KernelLogLexer,kmsg;dmesg,*.kmsg;*.dmesg,pygments.lexers.textfmts
LassoCssLexer,css+lasso,,pygments.lexers.templates
LassoHtmlLexer,html+lasso,,pygments.lexers.templates
LassoJavascriptLexer,javascript+lasso;js+lasso,,pygments.lexers.templates
LassoXmlLexer,xml+lasso,,pygments.lexers.templates
LdaprcLexer,ldapconf;ldaprc,.ldaprc;ldaprc;ldap.conf,pygments.lexers.ldap
LdifLexer,ldif,*.ldif,pygments.lexers.ldap
LighttpdConfLexer,lighttpd;lighty,lighttpd.conf,pygments.lexers.configs
LiterateCryptolLexer,literate-cryptol;lcryptol;lcry,*.lcry,pygments.lexers.haskell
LiterateIdrisLexer,literate-idris;lidris;lidr,*.lidr,pygments.lexers.haskell
LlvmMirBodyLexer,llvm-mir-body,,pygments.lexers.asm
LlvmMirLexer,llvm-mir,*.mir,pygments.lexers.asm
MakoCssLexer,css+mako,,pygments.lexers.templates
MakoHtmlLexer,html+mako,,pygments.lexers.templates
MakoJavascriptLexer,javascript+mako;js+mako,,pygments.lexers.templates
MakoXmlLexer,xml+mako,,pygments.lexers.templates
MaqlLexer,maql,*.maql,pygments.lexers.business
MatlabSessionLexer,matlabsession,,pygments.lexers.matlab
MCSchemaLexer,mcschema,*.mcschema,pygments.lexers.minecraft
MoinWikiLexer,trac-wiki;moin,,pygments.lexers.markup
MoselLexer,mosel,*.mos,pygments.lexers.mosel
MozPreprocCssLexer,css+mozpreproc,*.css.in,pygments.lexers.markup
MozPreprocHashLexer,mozhashpreproc,,pygments.lexers.markup
MozPreprocJavascriptLexer,javascript+mozpreproc,*.js.in,pygments.lexers.markup
MozPreprocPercentLexer,mozpercentpreproc,,pygments.lexers.markup
MozPreprocXulLexer,xul+mozpreproc,*.xul.in,pygments.lexers.markup
MSDOSSessionLexer,doscon,,pygments.lexers.shell
MyghtyCssLexer,css+myghty,,pygments.lexers.templates
MyghtyHtmlLexer,html+myghty,,pygments.lexers.templates
