rosettacode_name,rosettacode_url,rosettacode_summary,rosettacode_tasks_count
.QL,https://rosettacode.org/wiki/.QL,,0
0815,https://rosettacode.org/wiki/0815,,16
11l,https://rosettacode.org/wiki/11l,,1016
1C,https://rosettacode.org/wiki/1C,,2
360 Assembly,https://rosettacode.org/wiki/360_Assembly,,220
4D,https://rosettacode.org/wiki/4D,,5
4DOS Batch,https://rosettacode.org/wiki/4DOS_Batch,,6
4ME,https://rosettacode.org/wiki/4ME,,6
6502 Assembly,https://rosettacode.org/wiki/6502_Assembly,,129
6800 Assembly,https://rosettacode.org/wiki/6800_Assembly,,4
68000 Assembly,https://rosettacode.org/wiki/68000_Assembly,,108
8 1/2,https://rosettacode.org/wiki/8_1/2,,0
80386 Assembly,https://rosettacode.org/wiki/80386_Assembly,,1
8051 Assembly,https://rosettacode.org/wiki/8051_Assembly,,9
8080 Assembly,https://rosettacode.org/wiki/8080_Assembly,,122
8086 Assembly,https://rosettacode.org/wiki/8086_Assembly,,124
8th,https://rosettacode.org/wiki/8th,,91
A+,https://rosettacode.org/wiki/A%2B,,0
AArch64 Assembly,https://rosettacode.org/wiki/AArch64_Assembly,,246
ABAP,https://rosettacode.org/wiki/ABAP,,70
ABC,https://rosettacode.org/wiki/ABC,,55
ACL2,https://rosettacode.org/wiki/ACL2,,96
Acornsoft Lisp,https://rosettacode.org/wiki/Acornsoft_Lisp,,17
Action!,https://rosettacode.org/wiki/Action%21,,540
ActionScript,https://rosettacode.org/wiki/ActionScript,,118
Acurity Architect,https://rosettacode.org/wiki/Acurity_Architect,,3
Ada,https://rosettacode.org/wiki/Ada,,1085
Adina,https://rosettacode.org/wiki/Adina,,5
Agda,https://rosettacode.org/wiki/Agda,,17
Agda2,https://rosettacode.org/wiki/Agda2,,0
Agena,https://rosettacode.org/wiki/Agena,,147
AHDL,https://rosettacode.org/wiki/AHDL,,0
AIDED NATURAL LANGUAGE,https://rosettacode.org/wiki/AIDED_NATURAL_LANGUAGE,,0
Aikido,https://rosettacode.org/wiki/Aikido,,38
Aime,https://rosettacode.org/wiki/Aime,,166
Algae,https://rosettacode.org/wiki/Algae,,2
ALGOL,https://rosettacode.org/wiki/ALGOL,,0
ALGOL 60,https://rosettacode.org/wiki/ALGOL_60,,92
ALGOL 68,https://rosettacode.org/wiki/ALGOL_68,,1133
ALGOL W,https://rosettacode.org/wiki/ALGOL_W,,354
