rosettacode_name,rosettacode_url
МК-61/52,https://rosettacode.org/wiki/%D0%9C%D0%9A-61/52
.QL,https://rosettacode.org/wiki/.QL
11l,https://rosettacode.org/wiki/11l
1C,https://rosettacode.org/wiki/1C
360 Assembly,https://rosettacode.org/wiki/360_Assembly
4DOS Batch,https://rosettacode.org/wiki/4DOS_Batch
6502 Assembly,https://rosettacode.org/wiki/6502_Assembly
6800 Assembly,https://rosettacode.org/wiki/6800_Assembly
68000 Assembly,https://rosettacode.org/wiki/68000_Assembly
8 1/2,https://rosettacode.org/wiki/8_1/2
80386 Assembly,https://rosettacode.org/wiki/80386_Assembly
8051 Assembly,https://rosettacode.org/wiki/8051_Assembly
8080 Assembly,https://rosettacode.org/wiki/8080_Assembly
8086 Assembly,https://rosettacode.org/wiki/8086_Assembly
A+,https://rosettacode.org/wiki/A%2B
AArch64 Assembly,https://rosettacode.org/wiki/AArch64_Assembly
Acornsoft Lisp,https://rosettacode.org/wiki/Acornsoft_Lisp
Acurity Architect,https://rosettacode.org/wiki/Acurity_Architect
Adina,https://rosettacode.org/wiki/Adina
Agda2,https://rosettacode.org/wiki/Agda2
Agena,https://rosettacode.org/wiki/Agena
AHDL,https://rosettacode.org/wiki/AHDL
AIDED NATURAL LANGUAGE,https://rosettacode.org/wiki/AIDED_NATURAL_LANGUAGE
Aikido,https://rosettacode.org/wiki/Aikido
ALGOL 60,https://rosettacode.org/wiki/ALGOL_60
ALGOL 68,https://rosettacode.org/wiki/ALGOL_68
ALGOL W,https://rosettacode.org/wiki/ALGOL_W
ALGOL-M,https://rosettacode.org/wiki/ALGOL-M
Alice ML,https://rosettacode.org/wiki/Alice_ML
Alore,https://rosettacode.org/wiki/Alore
Amazing Hopper,https://rosettacode.org/wiki/Amazing_Hopper
ANSI BASIC,https://rosettacode.org/wiki/ANSI_BASIC
App Inventor,https://rosettacode.org/wiki/App_Inventor
Apple,https://rosettacode.org/wiki/Apple
Application Master,https://rosettacode.org/wiki/Application_Master
Apricot,https://rosettacode.org/wiki/Apricot
Aquarius BASIC,https://rosettacode.org/wiki/Aquarius_BASIC
Arbre,https://rosettacode.org/wiki/Arbre
Arendelle,https://rosettacode.org/wiki/Arendelle
