pl_id,sha1_git,sample_path,qualified_swhid,bare_swhid,rev_swhid,ori_swhid,cnt_known,rev_known,ori_known,all_known,checked_at
pl/plpgsql,b9668f1083290e2af716061aca470fcc93e3d310,samples/pl/plpgsql/b9668f1083290e2af716061aca470fcc93e3d310/metadata.json,swh:1:cnt:b9668f1083290e2af716061aca470fcc93e3d310;origin=https://github.com/PNNL-Comp-Mass-Spec/DBSchema_PgSQL_DMS;anchor=swh:1:rev:ba3195740b6407e08d3a6c8dfe0e2d7454c740c5;path=/dms/get_stat_activity.sql,swh:1:cnt:b9668f1083290e2af716061aca470fcc93e3d310,swh:1:rev:ba3195740b6407e08d3a6c8dfe0e2d7454c740c5,swh:1:ori:d2c958169fd467228f2ce6bad7c247d4d87906e3,yes,yes,skipped,yes,2026-05-15T17:24:06+00:00
pl/ocaml,57a5de4f61ddd67d42223b478a56df3f52460edb,samples/pl/ocaml/57a5de4f61ddd67d42223b478a56df3f52460edb/metadata.json,swh:1:cnt:57a5de4f61ddd67d42223b478a56df3f52460edb;origin=https://github.com/Nitrokey/nethsm;anchor=swh:1:rev:0730aa85338b227a8be5f9a42b8477948041fc26;path=/src/keyfender/logs_sequence_number.mli,swh:1:cnt:57a5de4f61ddd67d42223b478a56df3f52460edb,swh:1:rev:0730aa85338b227a8be5f9a42b8477948041fc26,swh:1:ori:21c7ae55f2f34a1627dad3bba32d0aa2f5911354,yes,yes,skipped,yes,2026-05-15T17:24:06+00:00
pl/ocaml,e2668403fdb66bf914dec4e058d889bd1a36a87f,samples/pl/ocaml/e2668403fdb66bf914dec4e058d889bd1a36a87f/metadata.json,swh:1:cnt:e2668403fdb66bf914dec4e058d889bd1a36a87f;origin=https://github.com/xvw/hhd-ghost;anchor=swh:1:rev:d4d3b430ddbe37ea6027a7463cf638b7b42bf026;path=/app/boa_skeleton.eliom,swh:1:cnt:e2668403fdb66bf914dec4e058d889bd1a36a87f,swh:1:rev:d4d3b430ddbe37ea6027a7463cf638b7b42bf026,swh:1:ori:1524e1bdf582e0ea2660dcb35d5486ed66ee6f87,yes,yes,skipped,yes,2026-05-15T17:24:06+00:00
pl/ocaml,fafc17d5429e60f2f6d7b11293daaaa202e714a9,samples/pl/ocaml/fafc17d5429e60f2f6d7b11293daaaa202e714a9/metadata.json,swh:1:cnt:fafc17d5429e60f2f6d7b11293daaaa202e714a9;origin=https://github.com/GillianPlatform/Gillian;anchor=swh:1:rev:9ca68ac1a24bf58fa501067419808a5531365b89;path=/wisl/lib/ParserAndCompiler/WLexer.mll,swh:1:cnt:fafc17d5429e60f2f6d7b11293daaaa202e714a9,swh:1:rev:9ca68ac1a24bf58fa501067419808a5531365b89,swh:1:ori:30cc01dfb6c4c9b35e18642e1f800e988def057a,yes,yes,skipped,yes,2026-05-15T17:24:06+00:00
pl/scheme,a384eed9729567aee7b66bdfff4986ee4975e474,samples/pl/scheme/a384eed9729567aee7b66bdfff4986ee4975e474/metadata.json,swh:1:cnt:a384eed9729567aee7b66bdfff4986ee4975e474;origin=https://github.com/DHSProgram/DHS-Indicators-SPSS;anchor=swh:1:rev:582c6106aa969544202b4d415f5bc7f6f0673d30;path=/Chap09_RH/RH_age_period_BR.sps,swh:1:cnt:a384eed9729567aee7b66bdfff4986ee4975e474,swh:1:rev:582c6106aa969544202b4d415f5bc7f6f0673d30,swh:1:ori:d066c21416d808bda6dcf6124679c5bbcf1f2717,yes,yes,skipped,yes,2026-05-15T17:24:06+00:00
pl/f-sharp,c88ae7180607d3650959a6cd946de3f27af7b250,samples/pl/f-sharp/c88ae7180607d3650959a6cd946de3f27af7b250/metadata.json,swh:1:cnt:c88ae7180607d3650959a6cd946de3f27af7b250;origin=https://github.com/septract/starling-tool;anchor=swh:1:rev:cfbaf8489ba4b0425e6ad47d552ae853c86cb9ff;path=/ExprEquiv.fs,swh:1:cnt:c88ae7180607d3650959a6cd946de3f27af7b250,swh:1:rev:cfbaf8489ba4b0425e6ad47d552ae853c86cb9ff,swh:1:ori:947cff6cd334c02e6010caa1e18e0a80e328afdc,yes,yes,skipped,yes,2026-05-15T17:24:06+00:00
pl/qmake,b94d1b2aedd336978f9bcd67a40ecb1400926aa7,samples/pl/qmake/b94d1b2aedd336978f9bcd67a40ecb1400926aa7/metadata.json,swh:1:cnt:b94d1b2aedd336978f9bcd67a40ecb1400926aa7;origin=https://github.com/wisindata/wisinoffice;anchor=swh:1:rev:7d787f8fa635648db00ff921110c38eceda87e47;path=/core/Common/3dParty/html/css/CssCalculator.pri,swh:1:cnt:b94d1b2aedd336978f9bcd67a40ecb1400926aa7,swh:1:rev:7d787f8fa635648db00ff921110c38eceda87e47,swh:1:ori:df5e5cf00a50b2884a6a8933f7e879f9a525170c,yes,yes,skipped,yes,2026-05-15T17:24:06+00:00
pl/mdx,01ba975db3813e496eab4e617edcb4261e6d6061,samples/pl/mdx/01ba975db3813e496eab4e617edcb4261e6d6061/metadata.json,swh:1:cnt:01ba975db3813e496eab4e617edcb4261e6d6061;origin=https://github.com/Walkover-Web-Solution/Giddh-Website;anchor=swh:1:rev:a04bea7d3140867db5ad37b1b36a6fb0a32a2e47;path=/_posts/blog/benefits-of-online-accounting-to-small-business.mdx,swh:1:cnt:01ba975db3813e496eab4e617edcb4261e6d6061,swh:1:rev:a04bea7d3140867db5ad37b1b36a6fb0a32a2e47,swh:1:ori:671ed7c5bac58ff853ebd69c8801395c2972a2d3,yes,yes,skipped,yes,2026-05-15T17:24:06+00:00
pl/ron,ec035c9af090bdb1a3a60231a1f025f0311d0e5a,samples/pl/ron/ec035c9af090bdb1a3a60231a1f025f0311d0e5a/metadata.json,swh:1:cnt:ec035c9af090bdb1a3a60231a1f025f0311d0e5a;origin=https://github.com/obi1kenobi/trustfall;anchor=swh:1:rev:9ed886d306c2549976365e6f6433a6772c35df5c;path=/trustfall_core/test_data/tests/frontend_errors/non_existent_bare_root.graphql-parsed.ron,swh:1:cnt:ec035c9af090bdb1a3a60231a1f025f0311d0e5a,swh:1:rev:9ed886d306c2549976365e6f6433a6772c35df5c,swh:1:ori:bb2361249e132613a34dcb9870cba15d06681627,yes,yes,skipped,yes,2026-05-15T17:24:06+00:00
pl/ron,63f1426a909c9a719d679553f39bc8687116621e,samples/pl/ron/63f1426a909c9a719d679553f39bc8687116621e/metadata.json,swh:1:cnt:63f1426a909c9a719d679553f39bc8687116621e;origin=https://github.com/obi1kenobi/trustfall;anchor=swh:1:rev:9ed886d306c2549976365e6f6433a6772c35df5c;path=/trustfall_core/test_data/tests/frontend_errors/filter_non_orderable_types.graphql.ron,swh:1:cnt:63f1426a909c9a719d679553f39bc8687116621e,swh:1:rev:9ed886d306c2549976365e6f6433a6772c35df5c,swh:1:ori:bb2361249e132613a34dcb9870cba15d06681627,yes,yes,skipped,yes,2026-05-15T17:24:06+00:00
