qid,label,enwiki_title,instance_of_labels,extensions,wikidata_url,wikipedia_url
Q2053,HTML5,HTML5,markup language; file format; W3C Recommendation; specification edition,html; htm,https://www.wikidata.org/wiki/Q2053,https://en.wikipedia.org/wiki/HTML5
Q238106,4DOS,4DOS,programming language; operating system shell; command-line interpreter; command line interface language,btm,https://www.wikidata.org/wiki/Q238106,https://en.wikipedia.org/wiki/4DOS
Q288405,hOCR,HOCR,markup language; file format,html; hocr,https://www.wikidata.org/wiki/Q288405,https://en.wikipedia.org/wiki/HOCR
Q298178,Advanced Stream Redirector,,file format; playlist markup language,asx,https://www.wikidata.org/wiki/Q298178,
Q380665,PLS,PLS (file format),file format; playlist markup language,pls,https://www.wikidata.org/wiki/Q380665,https://en.wikipedia.org/wiki/PLS_(file_format)
Q519163,Geometric Description Language,Geometric Description Language,programming language,win; dor; gdl; ism; msm; gsm; rsm; lmp,https://www.wikidata.org/wiki/Q519163,https://en.wikipedia.org/wiki/Geometric_Description_Language
Q681524,XML Shareable Playlist Format,,file format; playlist markup language,xspf,https://www.wikidata.org/wiki/Q681524,
Q796483,DocBook,DocBook,markup language; document file format,xml; dbk,https://www.wikidata.org/wiki/Q796483,https://en.wikipedia.org/wiki/DocBook
Q1069211,Chemical Markup Language,Chemical Markup Language,markup language; file format,cml,https://www.wikidata.org/wiki/Q1069211,https://en.wikipedia.org/wiki/Chemical_Markup_Language
Q1166919,Darwin Information Typing Architecture,Darwin Information Typing Architecture,markup language; file format; technical standard; XML-based format; hypertext system,xml; dita,https://www.wikidata.org/wiki/Q1166919,https://en.wikipedia.org/wiki/Darwin_Information_Typing_Architecture
Q1169476,STOS BASIC,STOS BASIC,programming language,mbs; mbk,https://www.wikidata.org/wiki/Q1169476,https://en.wikipedia.org/wiki/STOS_BASIC
Q1328134,InkML,InkML,markup language; W3C Recommendation; XML-based format,ink; inkml,https://www.wikidata.org/wiki/Q1328134,https://en.wikipedia.org/wiki/InkML
Q1384959,Extensible Forms Description Language,Extensible Forms Description Language,markup language; file format,frm; xfd; xfdl,https://www.wikidata.org/wiki/Q1384959,https://en.wikipedia.org/wiki/Extensible_Forms_Description_Language
Q1537885,Precision Graphics Markup Language,Precision Graphics Markup Language,markup language; XML-based format; vector graphics file format,pgml,https://www.wikidata.org/wiki/Q1537885,https://en.wikipedia.org/wiki/Precision_Graphics_Markup_Language
Q2127640,Railway Markup Language,RailML,markup language; organization; file format; XML-based format,railmlx; railml,https://www.wikidata.org/wiki/Q2127640,https://en.wikipedia.org/wiki/RailML
Q2332937,Windows Media Player Playlist,,file format; playlist markup language,wpl,https://www.wikidata.org/wiki/Q2332937,
Q2819247,ALTO,Analyzed Layout and Text Object,markup language; XML-based format,xml,https://www.wikidata.org/wiki/Q2819247,https://en.wikipedia.org/wiki/Analyzed_Layout_and_Text_Object
Q3782232,HTML 4.0,HTML 4.0,markup language; W3C Recommendation; specification edition,html,https://www.wikidata.org/wiki/Q3782232,https://en.wikipedia.org/wiki/HTML_4.0
Q4052151,URQ,,programming language,qs1; qs2,https://www.wikidata.org/wiki/Q4052151,
Q5592463,Graffiti Markup Language,Graffiti Markup Language,markup language,gml,https://www.wikidata.org/wiki/Q5592463,https://en.wikipedia.org/wiki/Graffiti_Markup_Language
Q7178768,Petri Net Markup Language,Petri Net Markup Language,markup language; file format,pnml,https://www.wikidata.org/wiki/Q7178768,https://en.wikipedia.org/wiki/Petri_Net_Markup_Language
Q7389358,State Chart XML,SCXML,markup language; W3C Recommendation; XML-based format,scxml,https://www.wikidata.org/wiki/Q7389358,https://en.wikipedia.org/wiki/SCXML
Q17090226,Fountain,Fountain (markup language),markup language,fountain,https://www.wikidata.org/wiki/Q17090226,https://en.wikipedia.org/wiki/Fountain_(markup_language)
Q19967422,Zero Markup Language,,free software; markup language,zml,https://www.wikidata.org/wiki/Q19967422,
Q24885455,Re:VIEW,,lightweight markup language,re,https://www.wikidata.org/wiki/Q24885455,
Q25312693,AtScript,AtScript,programming language,ats,https://www.wikidata.org/wiki/Q25312693,https://en.wikipedia.org/wiki/AtScript
Q25452619,Accelerated Mobile Pages,Accelerated Mobile Pages,markup language,amp.html,https://www.wikidata.org/wiki/Q25452619,https://en.wikipedia.org/wiki/Accelerated_Mobile_Pages
Q25461692,SuperNova,,free software; programming language; scripting language; interpreted language,nova,https://www.wikidata.org/wiki/Q25461692,
Q28757774,GEXF,,XML; file format,gexf,https://www.wikidata.org/wiki/Q28757774,
Q28770433,MARCXML,,XML; file format; XML schema,mrcx,https://www.wikidata.org/wiki/Q28770433,
Q29167434,Opera Binary Markup Language,,markup language,obml16; obml; obml15,https://www.wikidata.org/wiki/Q29167434,
Q72273742,TPN,,markup language; file format,xml,https://www.wikidata.org/wiki/Q72273742,
Q102388354,SPARQL-Generate,,file format; RDF query language; transformation language,rqg,https://www.wikidata.org/wiki/Q102388354,
Q105862131,Emacs Muse project,,file format; lightweight markup language,muse,https://www.wikidata.org/wiki/Q105862131,
Q110016938,TEI P5 - Single Text File,,file format; TEI/XML,tei; xml; odd,https://www.wikidata.org/wiki/Q110016938,
Q110017310,TEI P5 XML - Corpus File,,file format; TEI/XML,tei; xml; odd,https://www.wikidata.org/wiki/Q110017310,
Q110885022,Phoenix Object Basic,,integrated development environment; high-level programming language; object-based language,ebo; ero; epj; eto,https://www.wikidata.org/wiki/Q110885022,
Q120157985,JavaScript for Automation,JavaScript for Automation,scripting language,scpt; scptd,https://www.wikidata.org/wiki/Q120157985,https://en.wikipedia.org/wiki/JavaScript_for_Automation
Q123002447,Amazon Shading Language,,shading language,azsli; azsl,https://www.wikidata.org/wiki/Q123002447,
Q130405004,Org file,,file format; lightweight markup language,org,https://www.wikidata.org/wiki/Q130405004,
Q132262426,Varphi Language,,programming language; scripting language; object-based language; interpreted language; multi-paradigm programming language; imperative programming language; procedural programming language,vp,https://www.wikidata.org/wiki/Q132262426,
Q139800848,TTPlayer Playlist,,file format; playlist markup language,ttpl; ttbl,https://www.wikidata.org/wiki/Q139800848,
