canonical_name,lang_id,source_flags,extensions,source_count,alias_count,in_hyperpolyglot,in_pygments,in_rosettacode
apollo-guidance-computer,apollo-guidance-computer,esolang;linguist;pldb,.agc,3,1,True,False,False
gemini,gemini,esolang;linguist;pldb,.gmi,3,2,False,False,False
textile,textile,esolang;linguist;pldb,.textile,3,1,True,False,False
asp.net,asp.net,linguist;pldb,.asax .ascx .ashx .asmx .aspx .axd,2,3,False,True,True
abnf,abnf,linguist;pldb,.abnf,2,1,True,True,False
apacheconf,apacheconf,linguist;pldb,.apacheconf .vhost,2,3,True,True,False
arrow,arrow,esolang;pldb,,2,1,False,True,False
bibtex,bibtex,linguist;pldb,.bib .bibtex,2,1,True,True,False
cirru,cirru,linguist;pldb,.cirru,2,1,True,True,False
css,css,linguist;pldb,.css,2,1,True,True,False
desktop,desktop,linguist;pldb,.desktop .desktop.in .service,2,1,True,True,False
diff,diff,linguist;pldb,.diff .patch,2,2,True,True,False
dockerfile,dockerfile,linguist;pldb,.containerfile .dockerfile,2,2,True,True,False
ebnf,ebnf,linguist;pldb,.ebnf,2,1,True,True,False
flatline,flatline,esolang;pldb,,2,1,False,True,False
gcc-machine-description,gcc-machine-description,linguist;pldb,.md,2,1,True,True,False
gentoo-ebuild,gentoo-ebuild,linguist;pldb,.ebuild,2,1,True,True,False
gerber-image,gerber-image,linguist;pldb,.cmp .gbl .gbo .gbp .gbr .gbs .gko .gml .gpb .gpt .gtl .gto .gtp .gts .ncl .sol,2,2,True,True,False
gradle,gradle,linguist;pldb,.gradle,2,1,True,True,False
http,http,linguist;pldb,.http,2,1,True,True,False
hxml,hxml,linguist;pldb,.hxml,2,1,True,True,False
ini,ini,linguist;pldb,.cfg .cnf .dof .frm .ini .lektorproject .prefs .pro .properties .url,2,2,True,True,False
irc,irc,esolang;pldb,,2,1,False,True,False
irc-log,irc-log,linguist;pldb,.irclog .weechatlog,2,3,True,True,False
java-properties,java-properties,linguist;pldb,.properties,2,1,True,True,False
java-server-pages,java-server-pages,linguist;pldb,.jsp .tag,2,2,True,True,False
json5,json5,linguist;pldb,.json5,2,1,True,True,False
linux-kernel-module,linux-kernel-module,linguist;pldb,.mod,2,1,True,True,False
literate-agda,literate-agda,linguist;pldb,.lagda,2,1,True,True,False
loomscript,loomscript,linguist;pldb,.ls,2,1,True,True,False
markdown,markdown,linguist;pldb,.livemd .markdown .md .mdown .mdwn .mkd .mkdn .mkdown .ronn .scd .workbook,2,3,True,True,False
myghty,myghty,linguist;pldb,.myt,2,1,True,True,False
nl,nl,linguist;pldb,.nl,2,1,True,True,False
numpy,numpy,linguist;pldb,.numpy .numpyw .numsc,2,1,True,True,False
objdump,objdump,linguist;pldb,.objdump,2,1,True,True,False
openrc-runscript,openrc-runscript,linguist;pldb,,2,2,True,True,False
pig,pig,esolang;pldb,,2,1,False,True,False
procfile,procfile,linguist;pldb,,2,1,False,True,False
qmake,qmake,linguist;pldb,.pri .pro,2,1,True,True,False
restructuredtext,restructuredtext,linguist;pldb,.rest .rest.txt .rst .rst.txt,2,2,True,True,False
robotframework,robotframework,linguist;pldb,.resource .robot,2,1,True,True,False
saltstack,saltstack,linguist;pldb,.sls,2,3,True,True,False
scaml,scaml,linguist;pldb,.scaml,2,1,True,True,False
scss,scss,linguist;pldb,.scss,2,1,True,True,False
sqlpl,sqlpl,linguist;pldb,.db2 .sql,2,1,True,True,False
Text,text,esolang;linguist,.fr .nb .ncl .no .txt,2,3,True,True,False
typoscript,typoscript,esolang;pldb,,2,1,False,True,False
unity3d-asset,unity3d-asset,linguist;pldb,.anim .asset .mask .mat .meta .prefab .unity,2,1,True,True,False
vcl,vcl,linguist;pldb,.vcl,2,1,True,True,False
windows-registry-entries,windows-registry-entries,linguist;pldb,.reg,2,1,True,True,False
world-of-warcraft-addon-data,world-of-warcraft-addon-data,linguist;pldb,.toc,2,1,True,True,False
x-pixmap,x-pixmap,linguist;pldb,.pm .xpm,2,2,True,True,False
