pl_name,matched,match_kind,master_lang_id,master_name,source_flags,extensions,in_pldb,in_linguist,in_wikipedia,in_esolang,in_hyperpolyglot,in_pygments,in_rosettacode,fuzzy_candidates
11l,False,,,,,,False,False,False,False,False,False,False,
2APL,False,,,,,,False,False,False,False,False,False,False,
4Test,False,,,,,,False,False,False,False,False,False,False,
4tH,False,,,,,,False,False,False,False,False,False,False,
6502 Assembly,False,,,,,,False,False,False,False,False,False,False,
65816 Assembly,False,,,,,,False,False,False,False,False,False,False,
6800 Assembly,False,,,,,,False,False,False,False,False,False,False,
6809 Assembly,False,,,,,,False,False,False,False,False,False,False,
8008 Assembly,False,,,,,,False,False,False,False,False,False,False,
8051 Assembly,False,,,,,,False,False,False,False,False,False,False,
8080 Assembly,False,,,,,,False,False,False,False,False,False,False,
8085 Assembly,False,,,,,,False,False,False,False,False,False,False,
8086 Assembly,False,,,,,,False,False,False,False,False,False,False,
A#,False,,,,,,False,False,False,False,False,False,False,
A+,False,,,,,,False,False,False,False,False,False,False,
A-0 System,False,,,,,,False,False,False,False,False,False,False,
A-2,False,,,,,,False,False,False,False,False,False,False,
A-3,False,,,,,,False,False,False,False,False,False,False,
A-Shell,False,,,,,,False,False,False,False,False,False,False,
ABC ALGOL,False,,,,,,False,False,False,False,False,False,False,
Abella,False,,,,,,False,False,False,False,False,False,False,
Acceleo,False,,,,,,False,False,False,False,False,False,False,
ACE BASIC,False,,,,,,False,False,False,False,False,False,False,
Acorn Atom BASIC,False,,,,,,False,False,False,False,False,False,False,
Acornsoft Lisp,False,,,,,,False,False,False,False,False,False,False,
ACS,False,,,,,,False,False,False,False,False,False,False,
ACT-1,False,,,,,,False,False,False,False,False,False,False,
ACT-R,False,,,,,,False,False,False,False,False,False,False,
Active Oberon,False,,,,,,False,False,False,False,False,False,False,
Acton,False,,,,,,False,False,False,False,False,False,False,
Actually,False,,,,,,False,False,False,False,False,False,False,
Acumen,False,,,,,,False,False,False,False,False,False,False,
Acute,False,,,,,,False,False,False,False,False,False,False,
Adenine,False,,,,,,False,False,False,False,False,False,False,
ADMB,False,,,,,,False,False,False,False,False,False,False,
ADRIFT,False,,,,,,False,False,False,False,False,False,False,
Adventuron,False,,,,,,False,False,False,False,False,False,False,
AFL,False,,,,,,False,False,False,False,False,False,False,
Agal,False,,,,,,False,False,False,False,False,False,False,
Agda2,False,,,,,,False,False,False,False,False,False,False,
Agena,False,,,,,,False,False,False,False,False,False,False,
AGFL,False,,,,,,False,False,False,False,False,False,False,
AHDL,False,,,,,,False,False,False,False,False,False,False,
Aikido,False,,,,,,False,False,False,False,False,False,False,
AIMACO,False,,,,,,False,False,False,False,False,False,False,
ALC,False,,,,,,False,False,False,False,False,False,False,
Alda,False,,,,,,False,False,False,False,False,False,False,
Aleo,False,,,,,,False,False,False,False,False,False,False,
ALFL,False,,,,,,False,False,False,False,False,False,False,
ALGOL 58,False,,,,,,False,False,False,False,False,False,False,
ALGOL 60,False,,,,,,False,False,False,False,False,False,False,
ALGOL 68,False,,,,,,False,False,False,False,False,False,False,
ALGOL 68C,False,,,,,,False,False,False,False,False,False,False,
ALGOL 68R,False,,,,,,False,False,False,False,False,False,False,
Algol W,False,,,,,,False,False,False,False,False,False,False,
ALGOL-M,False,,,,,,False,False,False,False,False,False,False,
ALGOL-T,False,,,,,,False,False,False,False,False,False,False,
Alice ML,False,,,,,,False,False,False,False,False,False,False,
Allegro CL,False,,,,,,False,False,False,False,False,False,False,
ALM,False,,,,,,False,False,False,False,False,False,False,
Alms,False,,,,,,False,False,False,False,False,False,False,
Alore,False,,,,,,False,False,False,False,False,False,False,
Alpha Assembly,False,,,,,,False,False,False,False,False,False,False,
Altair BASIC,False,,,,,,False,False,False,False,False,False,False,
Amaranth,False,,,,,,False,False,False,False,False,False,False,
Amaranth HDL,False,,,,,,False,False,False,False,False,False,False,
Amazing Hopper,False,,,,,,False,False,False,False,False,False,False,
Amber Smalltalk,False,,,,,,False,False,False,False,False,False,False,
Amiga BASIC,False,,,,,,False,False,False,False,False,False,False,amigabasic
Amiga E,False,,,,,,False,False,False,False,False,False,False,
AML,False,,,,,,False,False,False,False,False,False,False,
AMOS Basic,False,,,,,,False,False,False,False,False,False,False,
Ampersand,False,,,,,,False,False,False,False,False,False,False,
Andl,False,,,,,,False,False,False,False,False,False,False,
Anglican,False,,,,,,False,False,False,False,False,False,False,
Angort,False,,,,,,False,False,False,False,False,False,False,
Ansible,False,,,,,,False,False,False,False,False,False,False,
Antescofo,False,,,,,,False,False,False,False,False,False,False,
Antimony,False,,,,,,False,False,False,False,False,False,False,
APDL,False,,,,,,False,False,False,False,False,False,False,
APL*PLUS,False,,,,,,False,False,False,False,False,False,False,
APL\360,False,,,,,,False,False,False,False,False,False,False,
APL\370,False,,,,,,False,False,False,False,False,False,False,
App Inventor,False,,,,,,False,False,False,False,False,False,False,
AppGameKit,False,,,,,,False,False,False,False,False,False,False,
AProlog,False,,,,,,False,False,False,False,False,False,False,prolog
Aqua,False,,,,,,False,False,False,False,False,False,False,
Aquarius BASIC,False,,,,,,False,False,False,False,False,False,False,
Arbre,False,,,,,,False,False,False,False,False,False,False,
Arcadia,False,,,,,,False,False,False,False,False,False,False,
Archetype,False,,,,,,False,False,False,False,False,False,False,
Arden,False,,,,,,False,False,False,False,False,False,False,
Arden Syntax,False,,,,,,False,False,False,False,False,False,False,
Arendelle,False,,,,,,False,False,False,False,False,False,False,
Argile,False,,,,,,False,False,False,False,False,False,False,
Aria,False,,,,,,False,False,False,False,False,False,False,
ARIBAS,False,,,,,,False,False,False,False,False,False,False,
ArkTS,False,,,,,,False,False,False,False,False,False,False,
ARM Assembly,False,,,,,,False,False,False,False,False,False,False,
Arnold C,False,,,,,,False,False,False,False,False,False,False,ArnoldC
Ascent,False,,,,,,False,False,False,False,False,False,False,
ASF+SDF,False,,,,,,False,False,False,False,False,False,False,
Asir,False,,,,,,False,False,False,False,False,False,False,
asm.js,False,,,,,,False,False,False,False,False,False,False,
AsmL,False,,,,,,False,False,False,False,False,False,False,
AspectC++,False,,,,,,False,False,False,False,False,False,False,
Assembly Language,False,,,,,,False,False,False,False,False,False,False,assembly-language
ASSIST,False,,,,,,False,False,False,False,False,False,False,
Asteroid,False,,,,,,False,False,False,False,False,False,False,
Atari BASIC,False,,,,,,False,False,False,False,False,False,False,
Ateji PX,False,,,,,,False,False,False,False,False,False,False,
ATL,False,,,,,,False,False,False,False,False,False,False,
Atlas Autocode,False,,,,,,False,False,False,False,False,False,False,atlas-autocode
Atlast,False,,,,,,False,False,False,False,False,False,False,
Attempto Controlled English,False,,,,,,False,False,False,False,False,False,False,
AUTOFLOW,False,,,,,,False,False,False,False,False,False,False,
Avenue,False,,,,,,False,False,False,False,False,False,False,
AviSynth,False,,,,,,False,False,False,False,False,False,False,avi-synth
AVR Assembly,False,,,,,,False,False,False,False,False,False,False,
Axe,False,,,,,,False,False,False,False,False,False,False,
Axon,False,,,,,,False,False,False,False,False,False,False,
Axum,False,,,,,,False,False,False,False,False,False,False,
B Method,False,,,,,,False,False,False,False,False,False,False,
B-Method,False,,,,,,False,False,False,False,False,False,False,
B-Prolog,False,,,,,,False,False,False,False,False,False,False,
B5000 Algol,False,,,,,,False,False,False,False,False,False,False,
B6700 Algol,False,,,,,,False,False,False,False,False,False,False,
Babashka,False,,,,,,False,False,False,False,False,False,False,
Babel-17,False,,,,,,False,False,False,False,False,False,False,
Babelsberg,False,,,,,,False,False,False,False,False,False,False,
Baby,False,,,,,,False,False,False,False,False,False,False,
BabyCobol,False,,,,,,False,False,False,False,False,False,False,
BACAIC,False,,,,,,False,False,False,False,False,False,False,
BaCon,False,,,,,,False,False,False,False,False,False,False,
BaCon BASIC,False,,,,,,False,False,False,False,False,False,False,
Bait,False,,,,,,False,False,False,False,False,False,False,
Balzac,False,,,,,,False,False,False,False,False,False,False,
BASCOM,False,,,,,,False,False,False,False,False,False,False,
BASIC-128,False,,,,,,False,False,False,False,False,False,False,
BASIC-360,False,,,,,,False,False,False,False,False,False,False,
BASIC-80,False,,,,,,False,False,False,False,False,False,False,
BASIC-D,False,,,,,,False,False,False,False,False,False,False,
BASIC-PLUS-2,False,,,,,,False,False,False,False,False,False,False,
BASICA,False,,,,,,False,False,False,False,False,False,False,
Basilisp,False,,,,,,False,False,False,False,False,False,False,
Batari BASIC,False,,,,,,False,False,False,False,False,False,False,
