language,programs_total,content_found,origin_found,any_found,unknown,coverage_content_pct,coverage_any_pct,content+origin,content_only,origin_only,not_covered,unknown_bucket
*Lisp,1,0,0,0,1,0.0,0.0,0,0,0,0,1
05AB1E,1,1,0,1,0,100.0,100.0,0,1,0,0,0
11l,1,0,0,0,1,0.0,0.0,0,0,0,0,1
1C:Enterprise,1,0,0,0,1,0.0,0.0,0,0,0,0,1
2APL,1,0,0,0,1,0.0,0.0,0,0,0,0,1
4D,1,0,0,0,1,0.0,0.0,0,0,0,0,1
4Test,1,0,0,0,0,0.0,0.0,0,0,0,1,0
6502 Assembly,1,0,0,0,0,0.0,0.0,0,0,0,1,0
65816 Assembly,1,0,0,0,1,0.0,0.0,0,0,0,0,1
6800 Assembly,1,0,0,0,0,0.0,0.0,0,0,0,1,0
6809 Assembly,1,0,0,0,1,0.0,0.0,0,0,0,0,1
8008 Assembly,1,0,0,0,0,0.0,0.0,0,0,0,1,0
8051 Assembly,1,0,0,0,1,0.0,0.0,0,0,0,0,1
8085 Assembly,1,0,0,0,1,0.0,0.0,0,0,0,0,1
8086 Assembly,1,0,0,0,0,0.0,0.0,0,0,0,1,0
8th,1,0,0,0,1,0.0,0.0,0,0,0,0,1
A#,1,0,0,0,0,0.0,0.0,0,0,0,1,0
A+,1,0,0,0,1,0.0,0.0,0,0,0,0,1
A-0 System,1,0,0,0,0,0.0,0.0,0,0,0,1,0
A-2,1,0,0,0,1,0.0,0.0,0,0,0,0,1
A-3,1,0,0,0,1,0.0,0.0,0,0,0,0,1
A-Shell,1,0,0,0,1,0.0,0.0,0,0,0,0,1
AADL,1,0,0,0,1,0.0,0.0,0,0,0,0,1
ABAP,1,0,0,0,1,0.0,0.0,0,0,0,0,1
ABC,1,0,0,0,1,0.0,0.0,0,0,0,0,1
ABC ALGOL,1,0,0,0,1,0.0,0.0,0,0,0,0,1
ABCL,1,0,0,0,1,0.0,0.0,0,0,0,0,1
ABEL,1,0,0,0,1,0.0,0.0,0,0,0,0,1
Abella,1,0,0,0,1,0.0,0.0,0,0,0,0,1
ABS,1,0,0,0,1,0.0,0.0,0,0,0,0,1
ABSET,1,0,0,0,1,0.0,0.0,0,0,0,0,1
ABSYS,1,0,0,0,1,0.0,0.0,0,0,0,0,1
Aceto,1,0,0,0,1,0.0,0.0,0,0,0,0,1
ACL2,1,0,0,0,1,0.0,0.0,0,0,0,0,1
Acorn Atom BASIC,1,0,0,0,1,0.0,0.0,0,0,0,0,1
ACS,1,0,0,0,0,0.0,0.0,0,0,0,1,0
ACSL,1,0,0,0,1,0.0,0.0,0,0,0,0,1
ACT-III,1,0,0,0,1,0.0,0.0,0,0,0,0,1
Action!,1,0,0,0,1,0.0,0.0,0,0,0,0,1
ActionScript,1,0,0,0,1,0.0,0.0,0,0,0,0,1
Active Oberon,1,0,0,0,1,0.0,0.0,0,0,0,0,1
Acton,1,0,0,0,1,0.0,0.0,0,0,0,0,1
